ID,Text,Comment
LV.MRe.ResizeMap,Zmień rozmiar mapy,-
LV.MRe.Size0,Szerokość (X),-
LV.MRe.Size1,Szerokość (Y),-
LV.MRe.Size2,Maksymalna wysokość terenu (Z1),-
LV.MRe.Size3,Maksymalna wysokość nad terenem (Z1+),-
LV.MRe.Resize,Zmień rozmiar,-
LV.MRe.ExandStrat,Rozszerz strategię,-
LV.MRe.ExandStratCopy,Krawędź kopiuj,-
LV.MRe.ExandStratMirror,Lustro,-
LV.MRe.OfferToLoad,Zmieniona mapa zapisana. Czy chcesz załadować tę zapisaną wersję? Uwaga: kontynuowanie tej sesji prawdopodobnie i tak spowoduje awarię gry.,-
LV.MRe.ResizeInvalidObj,"Są obiekty poza mapą po jej zmniejszeniu. Usuń wszystkie te obiekty przed zmniejszeniem, aby zapobiec awarii.",-
LV.MRe.AutoRemove,Usuń je wszystkie.,-
LV.MRe.SaveWarning,"<RedHighlight>Pamiętaj, aby zapisać grę przed zmianą rozmiaru mapy! Ta sesja gry prawdopodobnie nie będzie działać po zmianie rozmiaru. Powinieneś również wstrzymać grę przed użyciem tego.</RedHighlight>",-
