ID,Text,Comment
Good.Honey.DisplayName,Miód,-
Good.Honey.PluralDisplayName,Miód,-
Good.HoneyCake.DisplayName,Ciasto miodowe,-
Good.HoneyCake.PluralDisplayName,Miodowe ciastka,-
Good.Ointment.DisplayName,Maść,-
Good.Ointment.PluralDisplayName,Masy do smaków,-
Good.Mead.DisplayName,Miód pitny,-
Good.Mead.PluralDisplayName,Miód pitny,-
Building.HoneyHive.DisplayName,Miodowa Pasieka,-
Building.HoneyHive.Description,Zapylanie to jedno. Ale miód to miód. Do pracy wszyscy!,-
Building.HoneyHive.FlavorDescription,"""Miło jest przechodzić przez życie z lepkimi palcami!"" —Szczurki bobrowe",-
Building.HoneyHive.DisplaynameLocKey,Ul Honey,-
Building.AdvancedMedicalBed.DisplayName,Zaawansowane łóżko medyczne,-
Building.AdvancedMedicalBed.Description,"Użyj maści, aby przyspieszyć proces gojenia.",-
Building.AdvancedMedicalBed.FlavorDescription,"""Dzięki postępowi w pszczelarstwie wspieramy nasze zdrowie"" —Beavercrates",-
Building.AdvancedMedicalBed.DisplaynameLocKey,Zaawansowane Łóżko Medyczne,-
Need.SweetTooth.PluralDisplayName,Słodki Ząb,-
Need.HoneyCake.PluralDisplayName,Ciastka miodowe,-
Need.Mead.DisplayName,Miód pitny,-
Need.Inebriation.DisplayName,Pijany stan,-
Status.Need.Inebriation,Zabawa ma swoje konsekwencje,-
Status.Need.Inebriation.Short,Bóbr jest pijany.,-
