ID,Text,Comment
cutdeadtreesfirst.settings.mode,Tryb priorytetyzacji,-
cutdeadtreesfirst.settings.mode.tooltip,"Określa, jak martwe drzewa są priorytetyzowane do wycinki.",-
cutdeadtreesfirst.settings.mode.off,Wyłączone,-
cutdeadtreesfirst.settings.mode.designatedonly,Tylko wyznaczone,-
cutdeadtreesfirst.settings.mode.expanded,Rozszerzony,-
cutdeadtreesfirst.settings.species,Priorytet gatunków drzew,-
cutdeadtreesfirst.settings.species.tooltip,Priorytetowo traktuj konkretne gatunki drzew (martwe drzewa zawsze mają najwyższy priorytet),-
cutdeadtreesfirst.settings.species.none,Brak,-
cutdeadtreesfirst.settings.species.oak,Dęby,-
cutdeadtreesfirst.settings.species.birch,Brzozy,-
cutdeadtreesfirst.settings.species.oakandbirch,Dęby i Brzozy,-
