ID,Text,Comment
LV.MacM.KeyBindingCopy,Zarządzanie makro: Stwórz kolejny,-
LV.MacM.KeyBindingSelectAll,Zarządzanie makro: Wybierz wszystko,-
LV.MacM.KeyBindingSelectDistr,Zarządzanie makro: Wybierz w okręgu,-
LV.MacM.BuildAnother,Zbuduj kolejny {0},-
LV.MacM.Select,Wybierz {0}:,-
LV.MacM.SelectDistrict,W dzielnicy '{0}',-
LV.MacM.NoDistrict,Brak dzielnicy,-
LV.MacM.SelectAll,Wszędzie,-
LV.MacM.SelectPaused,Wstrzymano,-
LV.MacM.SelectRunning,Bieganie,-
LV.MacM.StockpileWarning,Ostrzeżenie: zamierzasz zmienić przedmioty dla <b>WSZYSTKICH</b> ({0}) wybranych budynków magazynowych. Czy jesteś pewny?,-
LV.MacM.ManufactoryWarning,Uwaga: zamierzasz zmienić przepisy dla <b>WSZYSTKICH</b> ({0}) wybranych budynków. Czy jesteś pewny?,-
