ID,Text,Comment
LV.Pkg.PackagedName,Zapakowany {0},-
LV.Pkg.PackagedNamePlural,Pakowane {0},-
LV.Pkg.Packager,Pakowacz,-
LV.Pkg.PackagerDesc,Łączy 10 razy dowolny obsługiwany towar w jedną paczkę.,-
LV.Pkg.PackagerFlavor,"Zrodzone z potrzeby, udoskonalone przez pedantów. Gdzie jest bałagan, tam jest Bundler.",-
LV.Pkg.Unpacker,Rozpakowacz,-
LV.Pkg.UnpackerDesc,Rozpakowuje paczkę z powrotem na 10 pojedynczych towarów.,-
LV.Pkg.UnpackerFlavor,Nic nic nie cieszy bobra bardziej niż otwieranie niespodzianek.,-
LV.Pkg.RecipePack,Pakiet {0},-
LV.Pkg.RecipeUnpack,Rozpakuj {0},-
