ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,sequoiadendron giganteum 3x3,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,árvore 2x2 ???,-
MapMakerPlants.Brambles.DisplayName,Espinhos,-
MapMakerPlants.NewVineV.DisplayName,Vinhas (verticais),-
MapMakerPlants.NewVineH.DisplayName,Videiras (Horizontal),-
MapMakerPlants.Waterbamboo.DisplayName,2x2 W.bamboo,-
MapMakerPlants.Baobab.DisplayName,5x5 Baobá,-
MapMakerPlants.LemonTree.DisplayName,Limoeiro,-
MapMakerPlants.PinkBirch.DisplayName,Eternaflor,-
MapMakerPlants.RuinedPath.DisplayName,Caminho arruinado,-
MapMakerPlants.BrokenHouse.DisplayName,Casa quebrada (troncos),-
MapMakerPlants.PlankRuin.DisplayName,Casa quebrada (Tábuas),-
NaturalResource.PinkBirch.DisplayName,Floragem Eterna,-
Good.Pumpkin.DisplayName,Abóbora,-
NaturalResource.Waterbamboo.DisplayName,Bambu incrivelmente alto,-
Lapantouflemagic.NewVineH.DisplayName,Videira,-
MapMakerPlants.CrystalSupport.Description,"Suporte necessário para colocar cristais flutuantes acima do nível Z 1.  
Autoempilhável  
Será invisível e não terá hitbox durante o jogo.",-
MapMakerPlants.CrystalSupport.DisplayName,Suporte Crystal,-
MPME.FloatingRock.DisplayName,Cristal Flutuante,-
MPME.FloatingRock.Description,"Flutua no céu para sustentar uma ilha no céu, requer descansar em algo por razões incompreensíveis, use o suporte.",-
MPME.FloatingRock.FlavorDescription,"""Como isso funciona?""
Oh? Oh, agora? Depois de todos esses anos? Depois de todos esses jogos? Agora você me pergunta como isso funciona?",-
MapMakerPlants.GearsRuin.DisplayName,Edifício quebrado (Engrenagens),-
Building.SkyBadwaterSource.DisplayName,Fonte Badwater Sky,-
Building.SkyWaterSource.DisplayName,Fonte de Água do Céu,-
Building.VoidSinkHole.DisplayName,Bloco de céu de buraco na terra,-
Building.VoidSinkHole.Description,"Remove visualmente o chão abaixo dele.  
Atua como uma fonte de água negativa para deletar a água que cai das ilhas.  
A bandeira não será visível no jogo.",-
MapMakerPlants.VoidTile.DisplayName,Bloco do céu,-
MapMakerPlants.VoidTile.Description,Deleta visualmente o chão sob ele. Para lugares onde você nunca esperaria ver água.,-
MapMakerPlants.VoidTileLarge.DisplayName,Bloco de céu 9x9,-
