ID,Text,Comment
Building.PipeBox.DisplayName,Caixa com tubo,-
Building.PipeStraight.DisplayName,Tubo Reto,-
Building.PipeTurn.DisplayName,Virada de Tubo,-
Building.PipeTIntersection.DisplayName,Interseção de Tubo em T,-
Building.PipeXIntersection.DisplayName,Interseção de Tubo X,-
Building.PipeUpward.DisplayName,Tubo Ascendente,-
Building.PipeVertical.DisplayName,Tubo Vertical,-
Building.PipeDownward.DisplayName,Tubo Descendente,-
Building.PipeBox.Description,Um tubo em um bloco à prova d'água.,-
Building.PipeValve.DisplayName,Válvula de Tubo,-
Building.PipeValve.Description,Descarte a água quando não estiver submerso.,-
Building.PipeWaterPump.DisplayName,Caixa com Bomba de Água,-
Building.PipeWaterPump.Description,Transfere água usando potência até uma profundidade máxima de 6.,-
Building.PipeWaterPump.TakeToPipe,Leve água para os canos.,-
Building.PipeWaterPump.TakeFromPipe,Tire água das torneiras.,-
Building.PipeGeneric.Description,Transfere água.,-
Building.PipeGeneric.Blocked.Short,tubo entupido,-
Building.PipeGeneric.Blocked,Alguma entrada de tubo está bloqueada por outro edifício ou terreno. Conecte apenas com outro tubo.,-
Building.WaterShield.DisplayName,Escudo de Água,-
Building.WaterShield.Description,Máquina poderosa que repele água quando ligada. Tenha cuidado para não ficar submerso por falta de energia.,-
