ID,Text,Comment
argargablar.TimberLapse.ModName,TimberLapse,-
argargablar.TimberLapse.Settings.Menu,Configurações do TimberLapse,-
argargablar.TimberLapse.OutputDir,Diretório de Saída,-
argargablar.TimberLapse.OutputFormat,Formato de Saída,-
argargablar.TimberLapse.Resolution,Resolução de Saída,-
argargablar.TimberLapse.UseCustomResolution,Usar Resolução Personalizada,-
argargablar.TimberLapse.CustomResWidth,Largura Personalizada,-
argargablar.TimberLapse.CustomResHeight,Altura Personalizada,-
argargablar.TimberLapse.Verbose,Log de Verbosidade,-
argargablar.TimberLapse.Frequency,Frequência de Timelapse,-
argargablar.TimberLapse.Frequency.1h,1 Hora,-
argargablar.TimberLapse.Frequency.2h,2 Horas,-
argargablar.TimberLapse.Frequency.4h,4 Horas,-
argargablar.TimberLapse.Frequency.6h,6 Horas,-
argargablar.TimberLapse.Frequency.8h,8 Horas,-
argargablar.TimberLapse.Frequency.hd,12 Horas,-
argargablar.TimberLapse.Frequency.1d,1 Dia,-
argargablar.TimberLapse.Frequency.2d,2 dias,-
argargablar.TimberLapse.Frequency.es,Cada Temporada,-
argargablar.TimberLapse.Frequency.ec,Cada Ciclo,-
argargablar.TimberLapse.DefaultCamera,Minha Câmera,-
argargablar.TimberLapse.Enable,Ativar TimberLapse,-
argargablar.TimberLapse.SetCameras,Configurar Câmeras,-
argargablar.TimberLapse.ManualScreenshot,Captura de tela,-
argargablar.TimberLapse.ManualScreenshotTip,Tire uma captura de tela manualmente com a câmera selecionada.,-
argargablar.TimberLapse.OpenSettings,Configurações,-
argargablar.TimberLapse.QuickNotif.Success,Captura de Tela Realizada,-
argargablar.TimberLapse.QuickNotif.Failure,Captura de tela falhou,-
argargablar.TimberLapse.ModSettingBox,Mais Configurações,-
argargablar.TimberLapse.CameraConfig.Header,Câmeras TimberLapse,-
argargablar.TimberLapse.CameraConfig.Rename,Renomear,-
argargablar.TimberLapse.CameraConfig.RenameTip,Renomeie a câmera selecionada.,-
argargablar.TimberLapse.CameraConfig.SetView,Configurar Câmera,-
argargablar.TimberLapse.CameraConfig.SetViewTip,Defina a câmera selecionada para a visão do jogador.,-
argargablar.TimberLapse.CameraConfig.CheckView,Câmera de Visualização,-
argargablar.TimberLapse.CameraConfig.CheckViewTip,Mova a câmera do jogo para a vista salva da câmera selecionada.,-
argargablar.TimberLapse.CameraConfig.AddCameraTip,Adicionar uma nova câmera,-
argargablar.TimberLapse.CameraConfig.RemoveCameraTip,Exclua a câmera deletada.,-
argargablar.TimberLapse.CameraFoV,Campo de Visão,-
argargablar.TimberLapse.CameraFreeMode,Modo de Câmera Livre: ATIVADO || Névoa: DESATIVADA,-
argargablar.TimberLapse.KeyBinding.AllManual,Captura de tela (Todas as câmeras),-
