ID,Text,Comment
LV.Ziporter.ZiporterHubName,Ziporter Hub,-
LV.Ziporter.ZiporterHubDesc,"O futuro do transporte é AGORA! Dois hubs são necessários para estabelecer uma conexão.  
<RedHighlight><b>AVISO:</b> Prepare a energia com antecedência!</RedHighlight>",-
LV.Ziporter.ZiporterHubFlavor,Os castores recuperaram este projeto ridiculamente avançado de uma laboratório humano construído pouco antes de desaparecerem.,-
LV.Ziporter.StabilizerUse,O estabilizador está sendo utilizado.,-
LV.Ziporter.StabilizerCharging,O estabilizador está carregando.,-
LV.Ziporter.StabilizerStable,Estabilizador estável,-
LV.Ziporter.WarningDraining,"O estabilizador está sendo drenado devido à falta de energia. Rápido, traga a energia de volta para estabilizá-lo.",-
LV.Ziporter.WarningDrainingShort,Estabilizador de drenagem,-
LV.Ziporter.ConnErrAlready,Conexão já estabelecida,-
LV.Ziporter.ConnErrSelf,Não é possível se conectar a si mesmo.,-
LV.Ziporter.ConnectHub,Conecte o Ziporter,-
LV.Ziporter.ConnectionNone,Nenhum hub de conexão selecionado.,-
LV.Ziporter.ConnectionEstablishing,A conexão será estabelecida a {0} de carga HP,-
LV.Ziporter.ConnectionEstablished,Conexão estabelecida,-
LV.Ziporter.ConnectionLosing,A conexão será perdida a {0} de carga de HP.,-
LV.Ziporter.WarningChargeDraining,A carga do Ziporter está baixa. A conexão será perdida em {0}.,-
LV.Ziporter.WarningChargeDrainingShort,A cobrança do Ziporter é baixa.,-
LV.Ziporter.WarningChargeDrainingLow,A carga do Ziporter está criticamente baixa. O estabilizador irá se esgotar.,-
LV.Ziporter.WarningChargeDrainingLowShort,Carga crítica do Ziporter,-
