ID,Text,Comment
Lapantouflemagic.logstairs.DisplayName,Коричневые бревенчатые лестницы,-
Lapantouflemagic.Birchlogstairs.DisplayName,Берёзовые бревенчатые лестницы,-
Lapantouflemagic.Pinklogstairs.DisplayName,Лестница из сосновых бревен,-
Lapantouflemagic.Scramblelogstairs.DisplayName,Перепутанные лестницы из бревен,-
Lapantouflemagic.logstairs.Description,"Куча бревен, arranged в примитивные ступени
<color=green>Больше вариантов доступно с модом ""Больше групп""</color>",-
Lapantouflemagic.logstairs.FlavorDescription,"«И именно <i>поэтому</i> нам нужно образование»  
—Ученый бобер",-
Lapantouflemagic.Crappyplatform_brown.DisplayName,Коричневая ужасная платформа,-
Lapantouflemagic.Crappyplatform_birch.DisplayName,Берёзовая ужасная платформа,-
Lapantouflemagic.Crappyplatform_Pink.DisplayName,Everblossom Ужасная Платформа,-
Lapantouflemagic.Crappyplatform_scramble.DisplayName,Запутанная Ужасная Платформа,-
Lapantouflemagic.Crappyplatform.Description,"Грустное оправдание платформы, позор для бобров.  
<color=green>Больше вариантов доступно с модом ""Больше групп""</color>",-
Lapantouflemagic.Crappyplatform.FlavorDescription,"""И <i>это тоже</i> причина, почему нам нужно образование""  
—Ученый бобер",-
Logstairs.Logstairsgroup.Description,Лестница из бревен,-
Logstairs.Crappyplatforms.Description,Ужасные платформы,-
