ID,Text,Comment
Knatte.Corner.DisplayName,Уголок декора,-
Knatte.Corner.Description,Пусть дамба будет загнана в угол.,-
Knatte.Corner.FlavorDescription,Не блокирует воду,-
//,Error,-
Knatte.SQCorner.DisplayName,Декорация для квадратного угла,-
Knatte.SQCorner.Description,Пусть плотина окажется в ловушке.,-
Knatte.SQCorner.FlavorDescription,Не блокирует воду,-
Knatte.Diagonal.DisplayName,Декорация по диагонали,-
Knatte.Diagonal.Description,Пусть дамба отойдет в сторону.,-
Knatte.Diagonal.FlavorDescription,Не блокирует воду,-
Knatte.DiagonalS.DisplayName,Декорация диагональной боковой платформы,-
Knatte.DiagonalS.Description,Пусть дамба уйдёт в сторону и будет платформа.,-
Knatte.DiagonalS.FlavorDescription,Не блокирует воду,-
Knatte.DiagonalW.DisplayName,Оставьте диагональ,-
Knatte.DiagonalW.Description,Пусть плотина уйдет в сторону.,-
Knatte.DiagonalW.FlavorDescription,Вода не пройдет,-
Knatte.InvCorner.DisplayName,Декорация внутреннего угла,-
Knatte.InvCorner.Description,Пусть дамба будет загнана в угол.,-
Knatte.InvCorner.FlavorDescription,Не блокирует воду,-
Knatte.InvCornerW.DisplayName,Внутренний угол Лива,-
Knatte.InvCornerW.Description,Пусть дамба будет прижата.,-
Knatte.InvCornerW.FlavorDescription,Вода не пройдет,-
Knatte.Slope.DisplayName,Декорация склона,-
Knatte.Slope.Description,Пусть плотина будет наклонной.,-
Knatte.Slope.FlavorDescription,Не блокирует воду,-
Knatte.CornerSlope.DisplayName,Декорировка угла склона,-
Knatte.CornerSlope.Description,Пусть плотина будет загнана в угол.,-
Knatte.CornerSlope.FlavorDescription,Не блокирует воду,-
Knatte.Square.DisplayName,Декоративный куб,-
Knatte.Square.Description,Проклятие площади,-
Knatte.Square.FlavorDescription,Не блокирует воду,-
Knatte.Square2W.DisplayName,Леви 2х2,-
Knatte.Square3W.DisplayName,Левее 3x3,-
Knatte.SquareW.Description,Пусть это будет большим.,-
Knatte.SquareW.FlavorDescription,Вода не пройдет,-
Knatte.SquareW1x2.DisplayName,Леве 1x2,-
Knatte.SquareW1x3.DisplayName,Леве 1x3,-
Knatte.SquareW2x1.DisplayName,Левее 2x1,-
Knatte.SquareW2x3.DisplayName,Набережная 2x3,-
Knatte.SquareW3x1.DisplayName,Левее 3x1,-
Knatte.SquareW3x2.DisplayName,Левее 3x2,-
Knatte.HighDam.DisplayName,Высокая плотина,-
Knatte.HighDam.Description,"Блокирует воду, но пропускает меньше (85%) через водослив вверху. Более высокий риск наводнений!",-
Knatte.HighDam.FlavorDescription,Вода не пройдет,-
