ID,Text,Comment
IgorZ.Automation.DebugPickTool.Title,Инструмент отладки,-
IgorZ.Automation.DebugPickTool.Description,Печатает компоненты на выбранном объекте.,-
IgorZ.Automation.DebugPickTool.DescriptionHint1,"Удерживайте <i>SHIFT</i>, чтобы напечатать Доступный.",-
IgorZ.Automation.DebugPickTool.DescriptionHint2,"Удерживайте <i>CTRL</i>, чтобы напечатать границы NavMesh.",-
IgorZ.Automation.DebugFinishNowTool.Title,Закончите теперь инструмент отладки,-
IgorZ.Automation.DebugFinishNowTool.Description,Немедленно завершает выбранные конструкты.,-
IgorZ.Automation.ToolGroup.Main.DisplayName,Настройка автоматизации,-
IgorZ.Automation.ToolGroup.Terrain.DisplayName,Изменение рельефа,-
IgorZ.Automation.ToolGroup.Water.DisplayName,Условия воды,-
IgorZ.Automation.ToolGroup.Power.DisplayName,Условия питания,-
IgorZ.Automation.ToolGroup.Storage.DisplayName,Условия хранения,-
IgorZ.Automation.ToolGroup.Population.DisplayName,Условия населения,-
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,Взрывать динамит 2 раза,-
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,Взорвать динамит 3 раза,-
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,Взрывайте динамит 4 раза,-
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,Взрывите динамит 5 раз.,-
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,Взорвать динамит 6 раз,-
IgorZ.Automation.Tool.tmpl.XLevelsDynamite.Description,"Этот шаблон может быть применён к динамитам, независимо от того, готов он или всё ещё строится. После завершения динамит взорвется автоматически, и будет размещен новый чертеж динамита для дальнейшего углубления.",-
IgorZ.Automation.Tool.tmpl.EmptyAt50pct.DisplayName,"Очистите хранилище, если его заполняемость превышает 50%.",-
IgorZ.Automation.Tool.tmpl.EmptyAt60pct.DisplayName,"Освободите хранилище, если его заполненность превышает 60%.",-
IgorZ.Automation.Tool.tmpl.EmptyAt70pct.DisplayName,"Очистите хранилище, если его емкость превышает 70%.",-
IgorZ.Automation.Tool.tmpl.EmptyAt80pct.DisplayName,"Опустошите хранилище, если его емкость превышает 80%.",-
IgorZ.Automation.Tool.tmpl.EmptyAt90pct.DisplayName,"Очистите хранилище, если его емкость превышает 90%.",-
IgorZ.Automation.Tool.tmpl.EmptyAtXpct.Description,"Этот шаблон может быть применен к зданиям, которые производят один тип товара и не имеют входных запасов. Если уровень <i>выходных</i> запасов превышает предопределенный порог, здание перейдет в режим «пусто», что облегчит быструю выгрузку товаров.",-
IgorZ.Automation.EmptyOutputStore.CustomStatus,Здание опустошается в приоритетном порядке.,-
IgorZ.Automation.Tool.tmpl.DroughtPause.DisplayName,Пауза во время засухи,-
IgorZ.Automation.Tool.tmpl.DroughtPause.Description,"Примените этот шаблон к зданиям, которые должны оставаться в паузе во время засухи.",-
IgorZ.Automation.Tool.tmpl.BadtidePause.DisplayName,Пауза во время плохого прилива,-
IgorZ.Automation.Tool.tmpl.BadtidePause.Description,"Примените этот шаблон к зданиям, которые должны оставаться в состоянии паузы во время плохих приливов.",-
IgorZ.Automation.Tool.tmpl.TemperatePause.DisplayName,Пауза во время умеренной погоды,-
IgorZ.Automation.Tool.tmpl.TemperatePause.Description,"Примените этот шаблон к зданиям, которые должны оставаться в состоянии ожидания в теплую погоду.",-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.DisplayName,Закройте затвор во время засухи.,-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.Description,"Примените этот шаблон к затворам, которые должны закрываться, когда начинается засуха.",-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.DisplayName,Открыть шлюз во время засухи,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.Description,"Примените этот шаблон на затворах, которые должны открываться, когда начинается засуха.",-
IgorZ.Automation.Tool.tmpl.DroughtOpenWaterRegulator.DisplayName,Регулятор открытой воды во время засухи,-
IgorZ.Automation.Tool.tmpl.DroughtOpenWaterRegulator.Description,"Примените этот шаблон для водных регуляторов, которые должны быть открыты во время засухи.",-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.DisplayName,Закройте затвор во время прилива.,-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.Description,"Примените этот шаблон к затворным воротам, которые необходимо закрыть, когда начинается сильный прилив.",-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.DisplayName,Открыть шлюз во время плохого прилива,-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.Description,"Примените этот шаблон к запорным шлюзам, которые должны открываться, когда начинается прилив бедствия.",-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.DisplayName,Закройте затвор во время умеренной погоды.,-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.Description,"Примените этот шаблон к затворам, которые нужно закрыть, когда начинается умеренный сезон.",-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.DisplayName,Откройте шлюз во время умеренной погоды,-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.Description,"Примените этот шаблон на затворы, которые нужно открыть, когда начинается умеренный сезон.",-
IgorZ.Automation.Tool.tmpl.TemperateSemiOpenFloodgate.DisplayName,Немного открытый шлюз в умеренную погоду,-
IgorZ.Automation.Tool.tmpl.TemperateSemiOpenFloodgate.Description,"Примените этот шаблон к затворным дверям, которые должны открываться на 0,5 м от их максимальной высоты, когда начинается теплый сезон.",-
IgorZ.Automation.Tool.tmpl.BotsAtPlus10.DisplayName,Популяция ботов +10,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus10.Description,"Примените этот шаблон к зданиям, которые должны функционировать до тех пор, пока численность ботов не превысит текущий уровень на 10 ботов.",-
IgorZ.Automation.Tool.tmpl.BotsAtPlus20.DisplayName,Население ботов +20,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus20.Description,"Примените этот шаблон к зданиям, которые должны работать до тех пор, пока численность ботов не превысит текущий уровень на 20 ботов.",-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.DisplayName,Население ботов -10,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.Description,"Примените этот шаблон к зданиям, которые должны оставаться приостановленными, пока численность бобров не снизится на 10 ниже текущего уровня.",-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.DisplayName,Популяция ботов -20,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.Description,"Примените этот шаблон к зданиям, которые должны оставаться приостановленными, пока популяция бобров не упадет на 20 ниже текущего уровня.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.DisplayName,"Запускайте до тех пор, пока популяция бобров не достигнет максимума.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.Description,"Примените этот шаблон к зданиям, которые должны работать, пока есть свободные кровати.",-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.DisplayName,Численность бобров +10,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.Description,"Примените этот шаблон к зданиям, которые должны работать до тех пор, пока популяция бобров не превысит текущий уровень на 10 бобров.",-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.DisplayName,Популяция бобров +20,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.Description,"Примените этот шаблон к зданиям, которые должны функционировать, пока численность популяции бобров не превысит текущий уровень на 20 бобров.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.DisplayName,Популяция бобров -10,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.Description,"Примените этот шаблон к зданиям, которые должны оставаться приостановленными, пока популяция бобров не снизится на 10 бобров ниже текущего уровня.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.DisplayName,Популяция бобров -20,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.Description,"Примените этот шаблон к зданиям, которые должны оставаться приостановленными, пока популяция бобров не снизится на 20 бобров ниже текущего уровня.",-
IgorZ.Automation.Tool.tmpl.ChainedBuildings.DisplayName,Не блокируйте строителей.,-
IgorZ.Automation.Tool.tmpl.ChainedBuildings.Description,"Примените этот шаблон к строительным площадкам, которые могут блокировать пути строителей. Примечание: результаты не гарантированы, особенно если здания находятся на разном уровне.",-
IgorZ.Automation.CancelTool.Title,Отменить автоматизацию,-
IgorZ.Automation.CancelTool.Description,"Используйте этот инструмент, чтобы очистить любые автоматизации на зданиях или строительных площадках.",-
IgorZ.Automation.PauseTool.Title,Приостановить строительство,-
IgorZ.Automation.PauseTool.Description,Используйте этот инструмент для приостановки строительства и строительных объектов.,-
IgorZ.Automation.ResumeTool.Title,Разблокировать здания,-
IgorZ.Automation.ResumeTool.Description,"Используйте этот инструмент, чтобы восстановить работу зданий и строительных площадок.",-
IgorZ.Automation.DummyTitle,Общее название,-
IgorZ.Automation.DummyDescription,Общее описание,-
TimberDev_Utils.Tools.LockSelectTool.SelectingObject,Выбор: {0},-
TimberDev_Utils.Tools.LockSelectTool.SelectingNObjects,Выбор: {0} (x{1}),-
TimberDev_Utils.Tools.LockSelectTool.StartSelectingPrompt,"Укажите на объект и нажмите, чтобы начать выбор",-
TimberDev_Utils.Tools.LockSelectTool.StartObjectSelectingPrompt,"Нажмите, чтобы начать выбор: {0}",-
TimberDev_Utils.Tools.LockSelectTool.DescriptionHint,"Удерживайте <i>SHIFT</i>, чтобы выбрать элементы только одного типа.",-
