ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,"Установите высоту, когда начинается засуха.",-
Floodgate.Triggers.EnableOnDroughtEnded,"Установите высоту, когда засуха закончится.",-
Floodgate.Schedule.Enable,Установите высоту по расписанию,-
Floodgate.Schedule.DisableOnDrought,Отключить расписание во время засухи,-
Floodgate.Schedule.DisableOnTemperate,Отключить расписание во время температурного режима,-
Floodgate.Triggers.Time,Время,-
Floodgate.Triggers.Height,Высота,-
Floodgate.Triggers.Basic,Основной,-
Floodgate.Triggers.Timer,Таймер,-
Floodgate.Triggers.Advanced,Продвинутый,-
Floodgate.Triggers.AttachToStreamGauge,Прикрепите потоковый датчик,-
Floodgate.Triggers.PickStreamGaugeTitle,Выберите потоковый зонд,-
Floodgate.Triggers.PickStreamGaugeTip,"Нет, действительно, выбирай любое.",-
Floodgates.Triggers.NoLinks,Нет подключенных потоковых датчиков,-
Floodgates.Triggers.NoFloodgateLinks,Нет связанных объектов.,-
Floodgates.Triggers.LinkedFloodgates,Связанные объекты,-
Floodgates.Triggers.Threshold1,Нижний порог измерения уровня потока,-
Floodgates.Triggers.Threshold2,Высокий порог измерения потока,-
Floodgates.Triggers.HeightWhenBelowThreshold1,Высота затвора ниже нижнего предела,-
Floodgates.Triggers.HeightWhenAboveThreshold2,Высота затвора над высоким порогом,-
Floodgate.Triggers.PauseOnDroughtStart,"Приостановитесь, когда начинается засуха.",-
Floodgate.Triggers.UnpauseOnDroughtStart,"Включите снова, когда начнется засуха.",-
Floodgate.Triggers.UnpauseOnTemperateStart,"Возобновить, когда начнется умеренный климат.",-
Floodgate.Triggers.PauseOnTemperateStart,"Приостановитесь, когда начинается умеренный температурный режим.",-
Floodgates.WaterpumpTrigger.Threshold1,Пауза <,-
Floodgates.WaterpumpTrigger.Threshold2,Пауза >,-
Floodgates.WaterpumpTrigger.Threshold3,Разрешить продолжение,-
Floodgates.WaterpumpTrigger.Threshold4,Возобновить,-
Floodgates.WaterpumpTrigger.PauseStartTime,Пауза на,-
Floodgates.WaterpumpTrigger.ResumeStartTime,Резюме на,-
Floodgates.WaterpumpTrigger.DisableDuringDrought,Отключить во время засухи,-
Floodgates.WaterpumpTrigger.DisableDuringTemperate,Отключить во время умеренности,-
Floodgate.Triggers.PauseOnSchedule,Пауза по расписанию,-
Floodgate.Triggers.EnableOnBadtideStarted,"Установите высоту, когда начинает подниматься плохой прилив.",-
Floodgate.Triggers.EnableOnBadtideEnded,"Установите высоту, когда заканчивается плохой прилив.",-
Floodgate.Schedule.DisableOnBadtide,Отключить расписание во время плохого прилива,-
Floodgates.WaterpumpTrigger.DisableDuringBadtide,Отключить во время низкой воды,-
Floodgate.Triggers.PauseOnBadtideStart,"Пауза, когда начинается прилив.",-
Floodgate.Triggers.UnpauseOnBadtideStart,"Возобновите, когда начнется плохая волна.",-
Floodgates.Triggers.ContaminationThresholdLow,Низкий порог загрязнения,-
Floodgates.Triggers.ContaminationThresholdHigh,Высокий порог загрязнения,-
Floodgates.Triggers.HeightWhenBelowContaminationThresholdLow,Установите высоту ниже низкого уровня загрязнения,-
Floodgates.Triggers.HeightWhenAboveContaminationThresholdHigh,Установите высоту над высокой концентрацией загрязняющих веществ.,-
Floodgates.Triggers.Depth,Глубина,-
Floodgates.Triggers.Contamination,Загрязнение,-
Floodgates.WaterSourceRegulator.Threshold1,Закрыть <,-
Floodgates.WaterSourceRegulator.Threshold2,Закрыть >,-
Floodgates.WaterSourceRegulator.Threshold3,Откройте <,-
Floodgates.WaterSourceRegulator.Threshold4,Открыть >,-
Floodgates.WaterSourceRegulator.CloseStartTime,Закрыть в,-
Floodgates.WaterSourceRegulator.OpenStartTime,Открыть в,-
Floodgates.WaterSourceRegulator.DisableDuringDrought,Отключить во время засухи,-
Floodgates.WaterSourceRegulator.DisableDuringTemperate,Отключить во время умеренного климата,-
Floodgate.WaterSourceRegulator.CloseOnDroughtStart,"Закрыть, когда начинается засуха",-
Floodgate.WaterSourceRegulator.OpenOnDroughtStart,"Откройте, когда начнётся засуха",-
Floodgate.WaterSourceRegulator.OpenOnTemperateStart,"Откройте, когда начнется температура.",-
Floodgate.WaterSourceRegulator.CloseOnTemperateStart,"Закройте, когда начинается температура.",-
Floodgate.WaterSourceRegulator.OpenOnBadtideStart,"Открой, когда начнется плохая влага",-
Floodgate.WaterSourceRegulator.CloseOnBadtideStart,"Закрыть, когда начнется плохая волна.",-
Floodgate.Schedule.CloseOnSchedule,Закрыто/Открыто по расписанию,-
Floodgates.WaterSourceRegulator.DisableDuringBadtide,Отключить во время плохого прилива,-
Floodgates.Triggers.Empty,Error,-
