ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Прямой железнодорожный путь,-
Tobbert.TrackStraight.Description,"Прямая секция рельс. Может быть изменена на односторонний сигнал с помощью переключателя при нажатии на нее. Создает участок рельсов между односторонними сигналами, позволяя находиться на нем одному поезду (что указывается цветами).",-
Tobbert.TrackStraight.FlavorDescription,Чух! Чух!,-
Tobbert.TrackOneWay.DisplayName,Однопутный сигнал Трек,-
Tobbert.TrackOneWay.Description,"Сообщит поездам, что они могут проходить только через зеленую сторону. Можно изменить обратно на прямой путь, используя переключатель при нажатии на него. Создает участок пути между односторонними, который позволяет находиться на нем только одному поезду (обозначается цветами).",-
Tobbert.TrackOneWay.FlavorDescription,Вы... пройдёте...,-
Tobbert.TrackCrossing.DisplayName,Пересечение железнодорожных путей,-
Tobbert.TrackCrossing.Description,"Бобры могут пересекать пути здесь. Столкновения не будут реализованы, так как производительность пострадает слишком сильно.",-
Tobbert.TrackCrossing.FlavorDescription,Этот поезд приближается очень б-,-
Tobbert.TrackHillStart.DisplayName,Склоновая трасса,-
Tobbert.TrackHillStart.Description,"Дорога, по которой поезда могут ездить вверх и вниз.",-
Tobbert.TrackHillStart.FlavorDescription,Поезд не слишком тяжелый?,-
Tobbert.TrackCorner1x1.DisplayName,Уголковый рельсовый трек 1x1,-
Tobbert.TrackCorner1x1.Description,"Часть трека, которая поворачивает за угол.",-
Tobbert.TrackCorner1x1.FlavorDescription,Может быть немного тесно.,-
Tobbert.TrackCorner2x2.DisplayName,Угол 2x2 Железнодорожный путь,-
Tobbert.TrackCorner2x2.Description,"Кусок трека, который проходит вокруг более крупного поворота.",-
Tobbert.TrackCorner2x2.FlavorDescription,Какой красивый изгиб.,-
Tobbert.TrackTIntersection1x1.DisplayName,Т-образный перекресток Железнодорожный путь 1x1,-
Tobbert.TrackTIntersection1x1.Description,Перекресток в виде буквы Т для поездов.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Куда мне идти?,-
Tobbert.TrackTIntersection2x3.DisplayName,Т-образное перекресток ЖД пути 2x3,-
Tobbert.TrackTIntersection2x3.Description,Перекресток в форме буквы Т для поездов.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Куда приведут эти пути?,-
Tobbert.TrackXIntersection1x1.DisplayName,X пересечение Железнодорожный путь 1x1,-
Tobbert.TrackXIntersection1x1.Description,Перекресток в форме буквы X для поездов.,-
Tobbert.TrackXIntersection1x1.FlavorDescription,Так много вариантов!,-
Tobbert.TrackXIntersection3x3.DisplayName,X пересечение Железнодорожной линии 3x3,-
Tobbert.TrackXIntersection3x3.Description,Перекресток в форме буквы X для поездов.,-
Tobbert.TrackXIntersection3x3.FlavorDescription,"Я просто не могу выбрать, куда пойти...",-
Tobbert.TrackRIntersection2x3.DisplayName,Переключить железнодорожный путь 2x3,-
Tobbert.TrackRIntersection2x3.Description,Выключатель в форме R для поездов.,-
Tobbert.TrackRIntersection2x3.FlavorDescription,Куда мы едем?,-
Tobbert.GoodsStation.DisplayName,Грузовая станция,-
Tobbert.GoodsStation.Description,"Позволяет транспортировать товары поездами. Товар может быть отправлен или получен на станции. Полученные товары будут перемещены только на склады, которые настроены на прием.",-
Tobbert.GoodsStation.FlavorDescription,"Посмотрите на все товары, которые он может вместить.",-
Tobbert.PassengerStation.DisplayName,Пассажирская станция,-
Tobbert.PassengerStation.Description,"Эта станция позволяет бобрам сесть на поезд и доехать до другой станции, которые связаны между собой.",-
Tobbert.PassengerStation.FlavorDescription,Бобровый поезд!,-
Tobbert.PassengerStation.DistrictObjectToggle,Пересекает районы:,-
Tobbert.PassengerStation.DistrictObject,"Когда включено, позволит бобрам заходить на пассажирские станции, у которых также включена эта настройка и которые находятся в других районах.",-
Tobbert.PassengerStation.EmptyStation,В данный момент нет ожидающих пассажиров.,-
Tobbert.WaitingStation.DisplayName,Ожидающая станция,-
Tobbert.WaitingStation.Description,"Поезда могут ожидать здесь, когда им нечего делать. Это предотвращает занятость путей поездами. Поезда не могут проложить путь через это, поэтому убедитесь, что это не находится на важных маршрутах.",-
Tobbert.WaitingStation.FlavorDescription,Когда я смогу снова пойти?,-
Tobbert.TrainYard.DisplayName,Депо поездов,-
Tobbert.TrainYard.Description,"Здание, которое создает поезда.",-
Tobbert.TrainYard.FlavorDescription,Здесь рождаются поезда.,-
