ID,Text,Comment
Faction.Emberpelts.DisplayName,Угольные шкуры,-
Faction.Charcoal.DisplayName,Уголь,-
Faction.Emberpelts.Description,"Эмберпелты имеют привязанность к красному цвету и предпочитают оставаться в тепле. Иногда им просто нравится наблюдать за тем, как что-то горит.  
Им не нравится, когда их шкура становится мокрой.  
Их девиз: <i>Сердца из огня.</i>",-
Bot.DisplayName.Emberpelts,Эмбербот {0},-
Good.Brick.DisplayName,Кирпич,-
Good.Brick.PluralDisplayName,Кирпичи,-
Good.Clay.DisplayName,Глина,-
Good.Clay.PluralDisplayName,Глина,-
Good.Coal.DisplayName,Древесный уголь,-
Good.Coal.PluralDisplayName,Уголь,-
Good.Apple.DisplayName,Яблоко,-
Good.Apple.PluralDisplayName,Яблоки,-
Good.AppleJuice.DisplayName,Яблочный сок,-
Good.AppleJuice.PluralDisplayName,Яблочный сок,-
Good.Radish.DisplayName,Редиска,-
Good.Radish.PluralDisplayName,Редиски,-
Good.Tomato.DisplayName,Помидор,-
Good.Tomato.PluralDisplayName,Помидоры,-
Good.TomatoJuice.DisplayName,Томатный сок,-
Good.TomatoJuice.PluralDisplayName,Томатный сок,-
Good.Beetroot.DisplayName,Свекла,-
Good.Beetroot.PluralDisplayName,Свекла,-
Good.RedJuice.DisplayName,Сок свеклы и редиса,-
Good.RedJuice.PluralDisplayName,Сок свеклы и редьки,-
Good.CornJuice.DisplayName,Кукурузный сок,-
Good.CornJuice.PluralDisplayName,Сок кукурузы,-
Good.Pepper.DisplayName,Перец болгарский,-
Good.Pepper.PluralDisplayName,Перцы болгарские,-
Good.Cornmeal.DisplayName,Маисовая мука,-
Good.Cornmeal.PluralDisplayName,Кукурузная мука,-
Good.GrilledCorn.DisplayName,Запечённая кукуруза,-
Good.GrilledCorn.PluralDisplayName,Жареная кукуруза,-
Good.GrilledPepper.DisplayName,Жареный сладкий перец,-
Good.GrilledPepper.PluralDisplayName,Запечённые болгарские перцы,-
Good.ApplePie.DisplayName,Яблочный пирог,-
Good.ApplePie.PluralDisplayName,Яблочные пироги,-
Good.Cornbread.DisplayName,Кукурузный хлеб,-
Good.Cornbread.PluralDisplayName,Кукурузный хлеб,-
Good.BakedBeetroot.DisplayName,Запеченная свекла,-
Good.BakedBeetroot.PluralDisplayName,Запеченные свеклы,-
Good.StuffedPepper.DisplayName,Фаршированный перец,-
Good.StuffedPepper.PluralDisplayName,Фаршированные перцы,-
Good.Fuel.DisplayName,Топливо,-
Good.Fuel.PluralDisplayName,Топливо,-
Good.Lubricant.DisplayName,Смазка,-
Good.Lubricant.PluralDisplayName,Смазка,-
Manufactory.Recipe.FuelRadish,Топливо (Редиски),-
Manufactory.Recipe.FuelBeetroot,Топливо (Свекла),-
Manufactory.Recipe.FuelCanola,Топливо (семена рапса),-
Manufactory.Recipe.FuelCorn,Топливо (Кукуруза),-
Manufactory.Recipe.FuelBadwater,Топливо (Бэдвотер),-
Building.HalfRoof1x1.DisplayName,Полуверша 1x1,-
Building.HalfRoof1x2.DisplayName,Полуверх 1x2,-
Building.HalfRoof2x1.DisplayName,Полувкрыша 2x1,-
Building.HalfRoof2x2.DisplayName,Полу-крыша 2x2,-
Building.Lodge.Emberpelts.FlavorDescription,Лodge был просто lodge.,-
Building.BigLodge.DisplayName,Большая Ложь,-
Building.BigLodge.Description,Увеличьте размер Ложи в три раза.,-
Building.BigLodge.FlavorDescription,Много места.,-
Building.VerticalLodge.DisplayName,Вертикальный Лодж,-
Building.VerticalLodge.Description,"Лодж, построенный вверх",-
Building.VerticalLodge.FlavorDescription,Небо — это предел!,-
Building.DoubleVerticalLodge.DisplayName,Двойное вертикальное общежитие,-
Building.DoubleVerticalLodge.Description,Это как будто два из них один на другом.,-
Building.DoubleVerticalLodge.FlavorDescription,Больше! Выше!,-
Building.TenementLodge.DisplayName,Общежитие,-
Building.TenementLodge.Description,Очень большое и высокое место для ночевки.,-
Building.TenementLodge.FlavorDescription,Старайся не сжечь это место.,-
Building.Press.DisplayName,Нажмите,-
Building.Press.Description,Выжимает масло или сок из подходящих растений.,-
Building.Press.FlavorDescription,"Любопытные котята используют это, чтобы раздавить всё, от печенья до шишек.",-
Building.Path2.DisplayName,Дорожка с перилами,-
Building.Path2.Description,Эта версия пути всегда имеет перила.,-
Building.Path3.DisplayName,Деревянная тропа,-
Building.Path3.Description,Эта версия пути сделана из дерева.,-
Building.Path4.DisplayName,Деревянная дорога без перил,-
Building.Path4.Description,Эта версия пути сделана из дерева и никогда не имеет перил.,-
Building.Path5.DisplayName,Деревянная дорожка с перилами,-
Building.Path5.Description,Эта версия пути сделана из дерева и всегда имеет перила.,-
Building.AutomatedWaterPump.DisplayName,Автоматический водяной насос,-
Building.AutomatedWaterPump.FlavorDescription,Бобры не требуются!,-
Building.ClayPit.DisplayName,Глинистый карьер,-
Building.ClayPit.Description,Места для сбора глины,-
Building.ClayPit.FlavorDescription,Это грязная работа.,-
Building.Kiln.DisplayName,Печь,-
Building.Kiln.Description,Изготавливает уголь из бревен и кирпичи из глины.,-
Building.Kiln.FlavorDescription,"Гори, детка!",-
Building.SmallEngine.DisplayName,Малый двигатель,-
Building.SmallEngine.FlavorDescription,"Великое изобретение, Железные Зубы, вероятно, скопировали наш дизайн.",-
Building.Engine.Emberpelts.FlavorDescription,Сжигание угля требует улучшенного дизайна.,-
Building.FuelEngine.DisplayName,Жидкостный ракетный двигатель,-
Building.FuelEngine.FlavorDescription,Жидкое топливо еще более эффективно для генерации энергии.,-
Building.PowerShaftVerticalTIntersection.DisplayName,Вертикальный Т-образный узел силового вала,-
Building.PowerShaftUpwardTIntersection.DisplayName,Верхний Т-образный перекресток с силовым валом,-
Building.PowerShaftDownwardTIntersection.DisplayName,Вал мощности - Т-образное пересечение вниз,-
Building.DecorativeFloor.DisplayName,Декоративный пол,-
Building.DecorativeFloor.Description,Чисто декоративная настенная панель.,-
Building.LargeUndergroundTank.DisplayName,Подземный резервуар,-
Building.UndergroundWarehouse.DisplayName,Подземный склад,-
Building.IndustrialPile.DisplayName,Промышленная сваи,-
Building.TubewayStation.Small.DisplayName,Небольшая станция Тубуэй,-
Building.TubewayLevee.DisplayName,Тубуэй Леви,-
NaturalResource.AppleTree.DisplayName,Яблоня,-
NaturalResource.AppleTree.FlavorDescription,Семена были принесены путешественниками из далеких земель.,-
NaturalResource.Beetroot.DisplayName,Свекла,-
NaturalResource.Beetroot.FlavorDescription,"Фиолетовый. Вкусный, когда готовится на масле и покрыт сиропом.",-
NaturalResource.Pepper.DisplayName,Сладкий перец,-
NaturalResource.Pepper.FlavorDescription,Только смелые едят это сырым.,-
NaturalResource.Radish.DisplayName,Редиска,-
NaturalResource.Radish.FlavorDescription,"Горько. Наверное, ты предпочел бы морковь.",-
NaturalResource.Tomato.DisplayName,Помидор,-
NaturalResource.Tomato.FlavorDescription,Сочный,-
Need.Fire.DisplayName,Огонь,-
Need.DryFur.DisplayName,Сухая шерсть,-
ToolGroups.Clay,Глина,-
ToolGroups.Platforms,Платформы и нависающие элементы,-
ToolGroups.Industry,Отрасль,-
ToolGroups.Bridges,Мосты,-
Building.Wonder.Emberpelts.DisplayName,Чудо огня,-
Building.Wonder.Emberpelts.Description,Распределяет ресурсы по Земле. После запуска делает бобров в этом районе особенно счастливыми.,-
Building.Wonder.Emberpelts.FlavorDescription,Это выглядит как большой костёр.,-
Faction.Emberpelts.WonderCompletionFlavor,"Собрав великое богатство и знания, ваши бобры попытались поделиться плодами своего труда с страдающей планетой. К сожалению, все это сгорело дотла. По крайней мере, ваши бобры смогли увидеть, как все горит!",-
Faction.Emberpelts.WonderCompletionMessage,"Поздравляем! Вы освоили Emberpelts и использовали ресурсы этой карты, чтобы построить чудо фракции.",-
Building.LumberMill.Large.DisplayName,Большой лесозавод,-
Building.Smelter.Large.DisplayName,Большой плавильный завод,-
Building.GearWorkshop.Large.DisplayName,Мастерская больших шестерен,-
Good.PhoenixEssence.DisplayName,Суть Феникса,-
Good.PhoenixEssence.PluralDisplayName,Суть Феникса,-
Need.Juice.DisplayName,Сок,-
Building.Floodgate.Flat.DisplayName,Плоская заслонка наводнения,-
Building.DoubleFloodgate.Flat.DisplayName,Плоский верхний двойной затвор,-
Building.TripleFloodgate.Flat.DisplayName,Плоская тройная запорная решетка,-
Building.Floodgate.Flat.Description,"Блокирует воду до регулируемой высоты. Новый более компактый дизайн, позволяющий строить поверх них.",-
