ID,Text,Comment
CG.TreeGrowthRate,Скорость роста деревьев,-
CG.TreeGrowthRateDesc,"Множитель времени роста деревьев, таких как сосны или дубы (1 - по умолчанию для игры). Может быть установлен ниже 1, чтобы усложнить игру.",-
CG.CropGrowthRate,Темп роста урожая,-
CG.CropGrowthRateDesc,"Множитель времени роста культур, таких как морковь или картофель (1 — по умолчанию для игры). Может быть установлен ниже 1, чтобы усложнить игру.",-
CG.GatherableGrowthRate,Темп роста продукта,-
CG.GatherableGrowthRateDesc,"Множитель для времени роста продуктов, таких как сосновая смола или ягоды (1 — по умолчанию в игре). Можно установить ниже 1, чтобы усложнить игру.",-
CG.ReproducibleChanceMultiplier,Воспроизводимый множитель шанса,-
CG.ReproducibleChanceMultiplierDesc,"Сделайте деревья более или менее склонными к размножению. Каждое дерево каждый час имеет 1-3% шанс на размножение в зависимости от вида. Установка этого значения на 1 сохраняет настройки игры, а 0 означает отсутствие размножения.",-
CG.SpreadDistance,Расстояние разброса,-
CG.SpreadDistanceDesc,"Расстояние (в кварталах), на которое дерево может распространиться на новый квартал. 0 означает отсутствие распространения. Значение по умолчанию в игре: 1",-
CG.SpreadVertically,Может распространяться вертикально.,-
CG.SpreadVerticallyDesc,"Если включено, деревья могут распространяться на блоки выше или ниже них (используя расстояние распространения). Значение по умолчанию в игре: ложь.",-
