ID,Text,Comment
LV.SPE.AllFixedDepth,Используйте фиксированную глубину,-
LV.SPE.AllFixedDepthDesc,Все насосы будут иметь фиксированную максимальную глубину.,-
LV.SPE.FixedDepth,Фиксированная глубина,-
LV.SPE.FixedDepthDesc,Фиксированная глубина для всех максимальных глубин насосов,-
LV.SPE.AllMultiplier,Используйте множитель,-
LV.SPE.AllMultiplierDesc,Все насосы будут использовать множитель для максимальной глубины.,-
LV.SPE.Multiplier,Множитель,-
LV.SPE.MultiplierDesc,Множитель для всех максимальных глубин насосов,-
LV.SPE.WaterConversation,Коэффициент конверсии водных продуктов,-
LV.SPE.WaterConversationDesc,"Коэффициент преобразования для водного продукта по сравнению с объемом (мультимедийный по умолчанию: 0,2, что означает, что водяные насосы используют 0,2 см³ для производства 1 водного продукта, а водные сливы производят 0,2 см³ на 1 водный продукт)",-
LV.SPE.MechPumpWater,Количество механических насосов (⚡!),-
LV.SPE.MechPumpWaterDesc,"Количество воды в секунду, которую перекачивает механический насос (по умолчанию в игре: 0,25 см³/с).  
⚡ Примечание: изменение этого параметра также соответственно увеличивает или уменьшает потребление энергии, см. ниже.",-
LV.SPE.MechPumpPowerMultiplier,Механический насосный усилитель мощности,-
LV.SPE.MechPumpPowerDesc,"По умолчанию этот мод удерживает потребление энергии на уровне 700HP на 0,25 см³. Используйте этот модификатор, чтобы увеличить или уменьшить (жульничая :P) это соотношение. Игровое значение по умолчанию: 1x",-
LV.SPE.WaterProdTimeMultiplier,Множитель времени производства воды,-
LV.SPE.WaterProdTimeMultiplierDesc,"Множитель времени производства воды. Например: по умолчанию в игре 0.33 часа за 1 воду для водяных насосов, установка этого значения на 0.5 сделает 0.16.5 часа за 1 воду.",-
