ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,Орошение с Tree boost,-
Knatte.WE_IrrigationFuel.DisplayName,Орошение,-
Knatte.IrrigationTower.DisplayName,Башня ирригации,-
Knatte.IrrigationTower.Description,"Орошает землю вокруг себя. Не использует воду для плитки, которую не может орошать.",-
Knatte.IrrigationTower.Header,Режим полива:,-
Knatte.IrrigationTower.FlavorDescription,"С учетом того, что менее трети Земли покрыто водой, орошение стало необходимостью.",-
Knatte.IrrigationTowerV2_FT.DisplayName,Эффективная irrigационная башня,-
Knatte.IrrigationTowerV2_FT.Description,"Орошает больше земли вокруг себя и может ускорить рост деревьев с помощью экстракта. Не использует воду для участков, которые не может орошать.",-
Knatte.IrrigationTowerV2_IT.DisplayName,Электрическая ирригационная башня,-
Knatte.IrrigationTowerV2_IT.Description,"Орошают вокруг себя без необходимости в рабочих. Для более эффективного использования воды также предотвращают загрязнение. Не используют воду для плитки, которую они не могут орошаить.",-
Knatte.IrrigationTowerV2.FlavorDescription,"С менее чем трёхдюймовой частью Земли, покрытой водой, ирригация стала необходимостью.",-
Knatte.BigIrrigationTower.DisplayName,Большая ирригационная башня,-
Knatte.BigIrrigationTowerIT.Description,"Орошает ещё больше земли вокруг себя за меньшие объемы воды.  
Синяя труба указывает на начальную точку орошения.  
Не использует воду для участков, которые не может орошать.",-
Knatte.BigIrrigationTowerFT.Description,"Орошаем еще больше земли вокруг него за счет меньшего количества воды. Желтая труба указывает на начальную точку орошения. Не использует воду для плит, которые не может орошать.",-
Knatte.BigIrrigationTower.FlavorDescription,Кап-кап-кап.,-
Knatte.IndWaterTank.DisplayName,Промышленный водяной бак,-
Knatte.IndWaterTank.Description,"Удерживает больше воды и может быть штабелируемым, но требует металла.",-
Knatte.Pipe5X.DisplayName,Труба 5 длинная,-
Knatte.Pipe10X.DisplayName,Труба 10 длинная,-
Knatte.Pipe15X.DisplayName,Труба 15 длинная,-
Knatte.Pipe.Description,"Насосы с обеих сторон трубы и входная и выходная трубы. Насосы должны быть подключены к питанию, но также выполнять функцию передачи. 
Не помещайте насосы в шестигранник над выходной трубой! Это приведет к сбою!",-
Knatte.PipeU5X.DisplayName,Трубопровод под землёй 5 длинный,-
Knatte.PipeU10X.DisplayName,Датчик подземной трубы 10 длинный,-
Knatte.PipeU15X.DisplayName,Труба под землёй 15 длинных,-
Knatte.PipeU.Description,"Насыпи с обеих сторон трубы и входная и выходная трубы. Труба идет под землей между насыпями. Насыпи должны быть с питанием, но также выполнять функцию передачи. Не размещайте насыпь в шестиугольнике над выходной трубой! Это приведет к сбою!",-
Knatte.CategoryPipe.DisplayName,Прямые трубы,-
Knatte.CategoryPipe.Description,"Трубы, которые идут над землёй",-
Knatte.CategoryPipeU.DisplayName,Подземные трубы,-
Knatte.CategoryPipeU.Description,"Трубы, которые нужно закопать на изгибе",-
Knatte.CategoryHideWE.DisplayName,Неиспользуемое водное расширение,-
Knatte.Pipe1X.DisplayName,Выпуск трубы,-
Knatte.Pipe1X.Description,"Два дамбы и входной и выходной трубопровод. Дамбы нужно питать, но они также должны выполнять функцию передачи. Не размещайте дамбы в шестиграннике над выходным трубопроводом! Это приведет к сбою!",-
Knatte.PowerLevee.DisplayName,Питание Leeve,-
Knatte.PowerLevee.Description,"Насыпь, в которой есть вал для приведения в действие насосов. Как горизонтальных, так и вертикальных.",-
