ID,Text,Comment
LV.CI.MinimumWaterContamination,Минимальное загрязнение воды,-
LV.CI.MinimumWaterContaminationDesc,"Минимальный процент загрязнения воды, при котором вода перестает обеспечивать полноценный полив. Значение по умолчанию в игре: 0.01, что означает, что если ваша вода загрязнена на 1% или меньше, она будет обеспечивать полный полив.",-
LV.CI.MaximumWaterContamination,Максимальное загрязнение воды,-
LV.CI.MaximumWaterContaminationDesc,"Максимальный процент загрязнения воды, при котором водоснабжение прекращается. Значение по умолчанию в игре: 0,53, что означает, что если ваша вода загрязнена на 53% или больше, полив не будет производиться.",-
LV.CI.VerticalSpreadCostMultiplier,Стоимость вертикального спрэда,-
LV.CI.VerticalSpreadCostMultiplierDesc,"Множитель стоимости для верхнего распространения. По умолчанию в игре: 6, что означает, что в целом стоимость распространения воды вверх в 6 раз выше.",-
LV.CI.MaxSpread,Максимальное распространение,-
LV.CI.MaxSpreadDesc,"Максимальное расстояние распространения в блоках. Значение по умолчанию в игре: 16, что означает, что насыщенные 3x3 блока будут орошать на расстоянии до 16 блоков.",-
LV.CI.ContaMinimumWaterContamination,Минимальное количество воды для загрязнения почвы,-
LV.CI.ContaMinimumWaterContaminationDesc,"Минимальный процент загрязнения воды, при котором вода начинает загрязнять почву. Значение по умолчанию в игре: 0.5, что означает, что если ваша вода загрязнена на 50% или более, она начнет загрязнять почву.",-
LV.CI.ContaMaxSpread,Максимальное распространение загрязнения,-
LV.CI.ContaMaxSpreadDesc,"Максимальное расстояние распространения в блоках для загрязненной воды. Значение по умолчанию в игре: 7, что означает, что загрязнение будет заражать блоки на расстоянии до 7 блоков.",-
LV.CI.ContaVerticalSpreadCostMultiplier,Затраты на вертикальное распространение загрязнения,-
LV.CI.ContaVerticalSpreadCostMultiplierDesc,"Мультипликатор стоимости для вверх направленного распространения загрязнения. По умолчанию в игре: 5, что означает, что обычно это стоит в 5 раз дороже, чтобы распространить загрязнение вверх.",-
