ID,Text,Comment
LV.CH.MaxBeaverMul,Макс Биверс Мультипликатор,-
LV.CH.MaxBeaverMulDesc,"Умножьте максимальное количество бобров, которое может иметь дом, на это значение, округлённое вниз, но минимум 1. Значение по умолчанию в игре: 1.",-
LV.CH.SleepMult,Множитель удовлетворенности сном,-
LV.CH.SleepMultDesc,"Умножьте удовлетворенность потребности во сне на это значение. Значение по умолчанию в игре: 1, поэтому при +0,2 в час (Бобер может иметь от -0,2 до 0,8 сна, -0,6 в день)",-
LV.CH.ShelterMult,Множитель удовлетворенности укрытием,-
LV.CH.ShelterMultDesc,"Умножьте удовлетворение потребности в укрытии на это значение. Значение по умолчанию в игре: 1, поэтому при +0,3 в час (бобры могут иметь от -0,2 до 0,8 укрытия, -0,3 в день)",-
LV.CH.MoveEntranceFloor,Переместить входы на этаж,-
LV.CH.MoveEntranceFloorDesc,"Переместите все входы на первый этаж (как в Двойных Лоджах). Также работает для домов, добавленных модами. Графических изменений нет. Настройка по умолчанию: нет.",-
LV.CH.AddOtherFaction,Добавьте жилища других фракций,-
LV.CH.AddOtherFactionDesc,"Сказочные существа могут строить дома Железных Зубов и наоборот. Не работайте с домами, добавленными модами. По умолчанию в игре: нет",-
LV.CH.AddProcreation,Добавьте размножение ко всем жилым помещениям.,-
LV.CH.AddProcreationDesc,"Добавьте размножение ко всем домам, чтобы народные хвосты могли размножаться в домах Железных Зубов.",-
LV.CH.RemoveProcreation,Удалите размножение из всех домов.,-
LV.CH.RemoveProcreationDesc,"Удалите размножение из всех жилых помещений, чтобы Железные Зубы не могли размножаться в жилых помещениях Фолктейлс.",-
LV.CH.MaxBeaverAdd,Макс Биверс Добавление,-
LV.CH.MaxBeaverAddDesc,"Добавьте это значение к максимальному количеству бобров, которые может иметь дом, ПОСЛЕ умножения. Может быть отрицательным. Финальное минимальное значение все равно остается 1.",-
