ID,Text,Comment
LV.BPSP.PowersGroup,Сила,-
LV.BPSP.PowersGroupDesc,"Проекты, которые улучшают вашу генерацию энергии",-
LV.BPSP.WaterWheelUp1,Нежный туманный поток,-
LV.BPSP.WaterWheelUpEff,Выработка энергии водой с колеса увеличивается с {0:+#%} до {1:+#%} в течение дня.,-
LV.BPSP.WaterWheelUp1Lore,"Легкий туман поднимает наши колеса достаточно, чтобы просканировать день.",-
LV.BPSP.WaterWheelUp2,Постоянный туманный прилив,-
LV.BPSP.WaterWheelUp2Lore,"«Посмотрите, как туман поднимается — колеса практически поют под темнотой!» — Мисттейл Спиннер",-
LV.BPSP.WaterWheelUp3,Концентрированный динамо-туман,-
LV.BPSP.WaterWheelUp3Eff,Мощность водяного колеса постоянно увеличивается на {0:+#%} в течение всего дня.,-
LV.BPSP.WaterWheelUp3Lore,"Мы превратили туман в постоянную силу, обеспечивающую работу колес на максимальной мощности всегда.",-
LV.BPSP.WaterWheelUpBuffDesc,Технология тумана дает импульс нашим водяным колесам.,-
LV.BPSP.WaterWheelFlowUp1,Термальный поток стабилизатор,-
LV.BPSP.WaterWheelFlowUp1Eff,"Мощность водяного колеса никогда не опускается ниже {0:+#%}, пока есть вода, даже без течения. Оно ничего не делает, если ваша текущая мощность уже выше.",-
LV.BPSP.WaterWheelFlowUp1Lore,"Горячие источники бурлят внизу, подталкивая колеса нарушить ленивые настроения реки.",-
LV.BPSP.WaterWheelFlowUp2,Паровой зарядный буст,-
LV.BPSP.WaterWheelFlowUp2Eff,Термальный стабилизатор потока дает дополнительный {0:+#%} минимум за уровень.,-
LV.BPSP.WaterWheelFlowUp2Cost,[Стоимость] за уровень за водяное колесо,-
LV.BPSP.WaterWheelFlowUp2Lore,"«Больше тепла, больше пара — колеса не опустятся ниже уверенного пуша!» — Боилертейл Стимрайт",-
LV.BPSP.WaterWheelFlowUpBuffDesc,"Термальные технологии помогают нашим водяным колесам вырабатывать энергию даже тогда, когда нет течения.",-
LV.BPSP.PowerOutputMulEff,{0:+#%} мощность на выходе,-
LV.BPSP.PowerOutputMulDayEff,{0:+#%} выходной мощности (от {1:+#%} до {2:+#%}),-
LV.BPSP.PowerOutputFlatEff,{0:+#}Мощность вывода HP от {1},-
LV.BPSP.GeneratorStrMinEff,"Минимальная мощность, когда есть вода из {1}",-
LV.BPSP.WheelWorkerUp,Синхронизация переключения передач,-
LV.BPSP.WheelWorkerUpEff,"Снижает потребность в большом рабочем колесе на {0}, поддерживая полный выход мощности.",-
LV.BPSP.WheelWorkerUpLore,"«Шестерни теперь танцуют одни — меньше хвостов, тот же гремящий旋转!» — Начальник Кланктейла",-
LV.BPSP.WheelBotUp,Интегрированные оси с ботом,-
LV.BPSP.WheelBotUpEff,"Позволяет ботам управлять Power Wheels, а не только бобрам.",-
LV.BPSP.WheelBotUpLore,"«Боты крутятся лучше, чем когда-либо могли бы хвосты — эффективность — это наша игра!» — Мастер Ботов Болтвихар",-
LV.BPSP.WindmillHeightUp,Высотный захват порывов,-
LV.BPSP.WindmillHeightUpEff,Ветроэлектрические установки (обычные и крупные) получают {0:+#%} больше энергии на каждом уровне высоты на своей самой высокой точке.,-
LV.BPSP.WindmillHeightUpLore,"«Мы парим под небесами, наслаждаясь порывами, которые завидуют верхушкам деревьев!» — Листокруж, Хранитель Ветров",-
LV.BPSP.WindmillHeightBuffEff,{0:+#%} мощность на уровне высоты,-
LV.BPSP.WindmillSizeUp,Компактные ветряные паруса,-
LV.BPSP.WindmillSizeUpEff,Ветряные мельницы теперь занимают площадь 1x1 вместо 3x3.,-
LV.BPSP.WindmillSizeUpLore,"Сказания сплетали более плотно паруса из ивовых нитей — меньше захваченной земли, больше шепота ветра.",-
LV.BPSP.SparePowerScience,Энергетический поток Тинкатрон,-
LV.BPSP.SparePowerScienceEff,"Любая неиспользованная энергия в вашей колонии переводится в науку. Коэффициент конверсии: {0}HP-часов на 1 науку, округлено вниз. Аккумуляторы не подвержены этому и не влияют на расчеты этого проекта.",-
LV.BPSP.SparePowerScienceLore,"«Дополнительные ватты, которые кружатся вокруг? Теперь они напрямую направляются в наши самые умные идеи!» — Sparkchew Thinkatron",-
