ID,Text,Comment
LV.T4Mods.EnableAll,Включить все,-
LV.T4Mods.DisableAll,Отключить всё,-
LV.T4Mods.ConfirmEnableAll,"Вы уверены, что хотите включить все моды?",-
LV.T4Mods.ConfirmDisableAll,"Вы уверены, что хотите отключить все моды?",-
LV.T4Mods.LoadProfile,Загрузить профиль,-
LV.T4Mods.SaveProfile,Сохранить профиль,-
LV.T4Mods.RestartGame,ОК и перезапустите игру,-
LV.T4Mods.Enabled,Включено,-
LV.T4Mods.Disabled,Отключено,-
LV.T4Mods.CheckForIssue,Проверьте наличие проблем.,-
LV.T4Mods.NoIssue,Проблем не обнаружено для вашего списка включенных модов.,-
LV.T4Mods.IssueObsolete,Мод {0} устарел и должен быть удалён.,-
LV.T4Mods.IssueObsoleteWRep,Мод {0} устарел и должен быть удалён. Используйте вместо него {1}.,-
LV.T4Mods.IssueObsoleteWRepUrl,Мод {0} устарел и должен быть удалён. Используйте вместо этого {1}. Вы хотите открыть страницу мода?,-
LV.T4Mods.IssueIncomp,Мод {0} несовместим с {1}. Причина: {2}.,-
LV.T4Mods.IncompReasonUnknown,Неизвестно,-
LV.T4Mods.IncompReasonReplace,Новая модификация заменяет её.,-
LV.T4Mods.IncompReasonConflict,Конфликты друг с другом,-
LV.T4Mods.AuthorNote,Заметка автора мода: {0},-
