ID,Text,Comment
LV.MRe.ResizeMap,Изменить размер карты,-
LV.MRe.Size0,Ширина (X),-
LV.MRe.Size1,Ширина (Y),-
LV.MRe.Size2,Максимальная высота местности (Z1),-
LV.MRe.Size3,Максимальная высота над уровнем земли (Z1+),-
LV.MRe.Resize,Изменить размер,-
LV.MRe.ExandStrat,Расширить стратегию,-
LV.MRe.ExandStratCopy,Копировать край,-
LV.MRe.ExandStratMirror,Зеркало,-
LV.MRe.OfferToLoad,"Сохранён изменённый карта. Вы хотите загрузить это сохранение? Обратите внимание: продолжение этой сессии, вероятно, приведёт к сбою игры.",-
LV.MRe.ResizeInvalidObj,"За пределами карты появляются объекты после того, как вы уменьшаете ее. Удалите все эти объекты перед уменьшением, чтобы предотвратить сбой?",-
LV.MRe.AutoRemove,Уберите их всех,-
LV.MRe.SaveWarning,"<RedHighlight>Не забудьте сохранить вашу игру перед изменением размера карты! Эта игровая сессия, вероятно, больше не будет работать после изменения размера. Также следует приостановить игру перед использованием этого.</RedHighlight>",-
