ID,Text,Comment
LV.QkB.SetQuickbar,Установить Быструю панель,-
LV.QkB.SetQuickbarHotkey,Shift + [Клавиша Быстрого Таруса],-
LV.QkB.QuickbarHotkeyGroup,Быстрая панель,-
LV.QkB.QuickbarAction1,Действие Быстрого доступа 1,-
LV.QkB.QuickbarAction2,Быстрая панель Действие 2,-
LV.QkB.QuickbarAction3,Быстродействие Действие 3,-
LV.QkB.QuickbarAction4,Действие панели быстрого доступа 4,-
LV.QkB.QuickbarAction5,Действие быстрого доступа 5,-
LV.QkB.QuickbarAction6,Быстрая панель действия 6,-
LV.QkB.QuickbarAction7,Действие быстрого доступа 7,-
LV.QkB.QuickbarAction8,Быстрая панель действия 8,-
LV.QkB.QuickbarAction9,Быстрая панель действия 9,-
LV.QkB.QuickbarAction10,Действие на панели быстрого доступа 10,-
LV.QkB.QuickbarAction11,Быстрый доступ Действие 11,-
LV.QkB.QuickbarAction12,Действие быстрого доступа 12,-
LV.QkB.QuickbarAction13,Быстрая панель Действие 13,-
LV.QkB.QuickbarAction14,Действие на быстром доступе 14,-
LV.QkB.QuickbarAction15,Действие панели быстрого доступа 15,-
LV.QkB.QuickbarAction16,Быстрая панель действия 16,-
LV.QkB.QuickbarAction17,Действие Быстрого доступа 17,-
LV.QkB.QuickbarAction18,Действие быстрого доступа 18,-
LV.QkB.QuickbarAction19,Действие панели быстрого доступа 19,-
LV.QkB.QuickbarAction20,Быстрая панель действий 20,-
