ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,Заряд батарей: {0} / {1},-
IgorZ.SmartPower.BatteryCharging,Зарядка батарей: <GreenHighlight>🡅</GreenHighlight>{0} ({1}),-
IgorZ.SmartPower.BatteryDischarging,Разрядка батарей: <RedHighlight>🡇</RedHighlight>{0} ({1}),-
IgorZ.SmartPower.BatteryNotUsed,<Batteries не использованы</Batteries>,-
IgorZ.SmartPower.BatteryDepleted,<RedHighlight>Аккумуляторы разряжены</RedHighlight>,-
IgorZ.SmartPower.PowerOutputBalancer.AutomateGenerator,Автоматизируйте этот генератор.,-
IgorZ.SmartPower.PowerOutputBalancer.ChargeBatteriesRangeText,Держите заряд батарей в диапазоне от {0}% до {1}%.,-
IgorZ.SmartPower.PowerOutputBalancer.ApplyToAllGenerators,Применить ко всем генераторам,-
IgorZ.SmartPower.PowerOutputBalancer.AppliedToGenerators,Применено к {0} генераторам,-
IgorZ.SmartPower.PowerOutputBalancer.SuspendedModeStatus,Приостановлено из-за избыточного предложения,-
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,Нет работников на рабочем месте,-
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,Топливо закончилось,-
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,<YellowHighlight>⏻</YellowHighlight> Недостающие ингредиенты,-
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,Слишком много товаров,-
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,Режим энергосбережения,-
IgorZ.SmartPower.PowerInputLimiter.SuspendIfNoPower,"Приостановить, если недостаточно энергии",-
IgorZ.SmartPower.PowerInputLimiter.SuspendIfLowEfficiency,Минимальная эффективность: {0}%,-
IgorZ.SmartPower.PowerInputLimiter.MinBatteriesRatio,"Остановитесь, если заряд батарей ниже {0}%.",-
IgorZ.SmartPower.PowerInputLimiter.ApplyToAllBuildings,Это относится ко всем таким зданиям.,-
IgorZ.SmartPower.PowerInputLimiter.AppliedToBuildings,Подано на {0} здания,-
IgorZ.SmartPower.PowerInputLimiter.PowerShutdownModeStatus,Приостановлено для сохранения энергии,-
IgorZ.SmartPower.PowerInputLimiter.NotEnoughPowerStatus,Недостаточно энергии,-
IgorZ.SmartPower.PowerInputLimiter.LowBatteriesChargeStatus,Недостаточно заряда батарей,-
IgorZ.SmartPower.Common.MinutesTillResume,<GreenHighlight>⏻</GreenHighlight> Продолжится через {0} минут,-
IgorZ.SmartPower.Common.MinutesTillSuspend,<YellowHighlight>⏻</YellowHighlight> Будет приостановлено через {0} минут,-
IgorZ.SmartPower.Settings.DebugSection,Отладка и устранение неисправностей,-
IgorZ.SmartPower.Settings.Debug.VerboseLogging,Подробный логгирование,-
IgorZ.SmartPower.Settings.Debug.VerboseLoggingTooltip,"Логи будут содержать более полезные детали, но это может сказаться на производительности игры.",-
IgorZ.SmartPower.Settings.BatteriesSection,Батареи,-
IgorZ.SmartPower.Settings.Batteries.ShowBatteryVitals,Показать статистику батареи,-
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresis,Гистерезис активации потребителей (часы),-
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresisTooltip,"Приостановленные потребители не возобновят работу, если не смогут работать от батарей хотя бы в течение указанного времени.",-
IgorZ.SmartPower.Settings.WalkerPoweredGeneratorSection,Генераторы на бобровой энергии,-
IgorZ.SmartPower.Settings.GoodConsumingGeneratorSection,Хорошие генераторы потребления,-
IgorZ.SmartPower.Settings.WorkplaceConsumerSection,Мастерские с рабочим местом,-
IgorZ.SmartPower.Settings.UnmannedConsumerSection,Беспилотные здания,-
IgorZ.SmartPower.Settings.AttractionConsumerSection,Достопримечательности,-
IgorZ.SmartPower.Settings.UI.ShowFloatingIcon,Показать плавающую иконку,-
IgorZ.SmartPower.Settings.Hysteresis.ResumeDelay,Задержка резюме (минуты),-
IgorZ.SmartPower.Settings.Hysteresis.SuspendDelay,Приостановить задержку (минуты),-
