ID,Text,Comment
Cadre.Group.Bombs.DisplayName,Бомбы,-
Cadre.Quadramite.DisplayName,Квадрамит,-
Cadre.Quadramite.Description,"Динамит, который взрывается на глубину до 4-blocks.",-
Cadre.Quadramite.FlavourDescription,"Динамит, который взрывается на глубину до 4 блоков.",-
Cadre.Quintamite.DisplayName,Квинтамит,-
Cadre.Quintamite.Description,"Динамит, который взрывается на глубину до 5 блоков.",-
Cadre.Quintamite.FlavourDescription,"Динамит, который взрывается на глубину до 5 блоков.",-
Cadre.Hexamite.DisplayName,Гексамит,-
Cadre.Hexamite.Description,"Динамит, который взрывается на глубину до 6 блоков.",-
Cadre.Hexamite.FlavourDescription,"Динамит, который взрывается на глубину до 6 блоков.",-
Cadre.Septamite.DisplayName,Септамит,-
Cadre.Septamite.Description,"Динамит, который взрывается на глубину до 7 блоков.",-
Cadre.Septamite.FlavourDescription,"Динамит, который взрывается на глубину до 7 блоков.",-
Cadre.Octamite.DisplayName,Октамит,-
Cadre.Octamite.Description,"Динамит, который взрывается на глубину до 8 блоков.",-
Cadre.Octamite.FlavourDescription,"Динамит, который взрывается на глубину до 8 блоков.",-
Cadre.Nonamite.DisplayName,Нонамит,-
Cadre.Nonamite.Description,"Динамит, который взрывается на глубину до 9 блоков вниз",-
Cadre.Nonamite.FlavourDescription,"Динамит, который взрывается на глубину до 9 блоков.",-
Cadre.Decamite.DisplayName,Декамитит,-
Cadre.Decamite.Description,"Динамит, который взрывает до 10 блоков вниз.",-
Cadre.Decamite.FlavourDescription,"Динамит, который взрывается на глубину до 10 блоков.",-
Cadre.Undecamite.DisplayName,Ундекамит,-
Cadre.Undecamite.Description,"Динамит, который взрывается на глубину до 11 блоков.",-
Cadre.Undecamite.FlavourDescription,"Динамит, который взрывается на глубину до 11 блоков.",-
Cadre.Dodecamite.DisplayName,Додекамит,-
Cadre.Dodecamite.Description,"Динамика, которая взрывается на глубину до 12 блоков.",-
Cadre.Dodecamite.FlavourDescription,"Динамит, который взрывается на глубину до 12 блоков.",-
Cadre.Tredecamite.DisplayName,Тридекамитет,-
Cadre.Tredecamite.Description,"Динамит, который взрывается на глубину до 13 блоков.",-
Cadre.Tredecamite.FlavourDescription,"Динамит, который взрывается на глубину до 13 блоков.",-
Cadre.Quadradecamite.DisplayName,Квадрадекамит,-
Cadre.Quadradecamite.Description,"Динамит, который взрывается на глубину до 14 блоков.",-
Cadre.Quadradecamite.FlavourDescription,"Динамит, который взрывается на глубину до 14 блоков.",-
Cadre.Quintadecamite.DisplayName,Квинтадекамит,-
Cadre.Quintadecamite.Description,"Динамит, который взрывается на глубину до 15 блоков.",-
Cadre.Quintadecamite.FlavourDescription,"Динамит, который взрывается на глубину до 15 блоков.",-
Cadre.Hexadecamite.DisplayName,Гекдекатит,-
Cadre.Hexadecamite.Description,"Динамит, который взрывает до 16 блоков вниз",-
Cadre.Hexadecamite.FlavourDescription,"Динамит, который взрывается на глубину до 16 блоков.",-
