ID,Text,Comment
Cordial.CutterTool.DisplayName,Марк настроил область вырубки деревьев.,-
Cordial.CutterTool.Description,"Используйте этот инструмент для обозначения настроенных зон и/или типов деревьев, которые нужно срубить.",-
Cordial.CutterTool.CutterToolPanel.Title,Конфигурация инструмента для резки,-
Cordial.CutterTool.CutterToolPanel.Description,Настройте типы деревьев для вырубки и/или зону выбора вырубки,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern01,Все,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern02,Клетчатый,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern03,Линии X,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern04,Линии Y,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeAll,Все типы деревьев,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeMark,Отметьте только деревья,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreStump,Игнорировать пни,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.ClearCut,Очистить несоответствующую зону резки,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreDeadSapling,Игнорируйте мертвые саженцы.,-
