ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3 巨型红杉,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? 树,-
MapMakerPlants.Brambles.DisplayName,荆棘,-
MapMakerPlants.NewVineV.DisplayName,藤蔓（垂直）,-
MapMakerPlants.NewVineH.DisplayName,藤蔓（水平）,-
MapMakerPlants.Waterbamboo.DisplayName,2x2 维生素竹,-
MapMakerPlants.Baobab.DisplayName,5x5 猴面包树,-
MapMakerPlants.LemonTree.DisplayName,柠檬树,-
MapMakerPlants.PinkBirch.DisplayName,永生花,-
MapMakerPlants.RuinedPath.DisplayName,毁坏的小路,-
MapMakerPlants.BrokenHouse.DisplayName,破旧的房子（木头）,-
MapMakerPlants.PlankRuin.DisplayName,破旧的房子（木板）,-
NaturalResource.PinkBirch.DisplayName,永绽花,-
Good.Pumpkin.DisplayName,南瓜,-
NaturalResource.Waterbamboo.DisplayName,令人难以置信的高竹子,-
Lapantouflemagic.NewVineH.DisplayName,葡萄藤,-
MapMakerPlants.CrystalSupport.Description,"支持将浮动水晶放置在Z轴等级1以上。  
自我堆叠  
在游戏中将不可见并且没有碰撞箱",-
MapMakerPlants.CrystalSupport.DisplayName,水晶支持,-
MPME.FloatingRock.DisplayName,漂浮水晶,-
MPME.FloatingRock.Description,在空中漂浮以支持空岛，出于无法理解的原因需要依靠某种东西，使用支撑物。,-
MPME.FloatingRock.FlavorDescription,"“它是怎么工作的？”
哦？哦，现在吗？经过这么多年？经过这么多游戏？你现在问我这些是怎么工作的吗？",-
MapMakerPlants.GearsRuin.DisplayName,破败的建筑 (齿轮),-
Building.SkyBadwaterSource.DisplayName,天空坏水源,-
Building.SkyWaterSource.DisplayName,天空水源,-
Building.VoidSinkHole.DisplayName,陷坑空岛,-
Building.VoidSinkHole.Description,"视觉上删除它下面的地面。
作为一个负水源，删除从岛上掉落的水。
旗帜在游戏中不可见。",-
MapMakerPlants.VoidTile.DisplayName,天空块,-
MapMakerPlants.VoidTile.Description,在它下面的地面上视觉上删除。对于你从未期望看到水的地方。,-
MapMakerPlants.VoidTileLarge.DisplayName,天空块 9x9,-
