ID,Text,Comment
Knatte.Corner.DisplayName,装饰角落,-
Knatte.Corner.Description,让水坝被困住。,-
Knatte.Corner.FlavorDescription,不阻挡水,-
//,Error,-
Knatte.SQCorner.DisplayName,装饰方角,-
Knatte.SQCorner.Description,让大坝被逼到绝境。,-
Knatte.SQCorner.FlavorDescription,不防水,-
Knatte.Diagonal.DisplayName,装饰对角线,-
Knatte.Diagonal.Description,让大坝移到一旁。,-
Knatte.Diagonal.FlavorDescription,不防水,-
Knatte.DiagonalS.DisplayName,装饰斜侧平台,-
Knatte.DiagonalS.Description,让大坝移到一边，然后设置平台。,-
Knatte.DiagonalS.FlavorDescription,不阻挡水,-
Knatte.DiagonalW.DisplayName,离开对角线,-
Knatte.DiagonalW.Description,让水坝往一边去。,-
Knatte.DiagonalW.FlavorDescription,水将无法通过,-
Knatte.InvCorner.DisplayName,装饰内部角落,-
Knatte.InvCorner.Description,让大坝被困住。,-
Knatte.InvCorner.FlavorDescription,不阻挡水。,-
Knatte.InvCornerW.DisplayName,留下内部角落,-
Knatte.InvCornerW.Description,让大坝被围困。,-
Knatte.InvCornerW.FlavorDescription,水不会通过,-
Knatte.Slope.DisplayName,装饰坡道,-
Knatte.Slope.Description,让大坝倾斜。,-
Knatte.Slope.FlavorDescription,不阻挡水,-
Knatte.CornerSlope.DisplayName,装饰坡角,-
Knatte.CornerSlope.Description,让大坝陷入困境。,-
Knatte.CornerSlope.FlavorDescription,不阻挡水,-
Knatte.Square.DisplayName,装饰立方体,-
Knatte.Square.Description,阻止广场,-
Knatte.Square.FlavorDescription,不防水,-
Knatte.Square2W.DisplayName,堤坝 2x2,-
Knatte.Square3W.DisplayName,堤坝 3x3,-
Knatte.SquareW.Description,该让它变得宏大。,-
Knatte.SquareW.FlavorDescription,水不会通过,-
Knatte.SquareW1x2.DisplayName,堤坝 1x2,-
Knatte.SquareW1x3.DisplayName,堤坝 1x3,-
Knatte.SquareW2x1.DisplayName,堤坝 2x1,-
Knatte.SquareW2x3.DisplayName,堤坝 2x3,-
Knatte.SquareW3x1.DisplayName,堤坝 3x1,-
Knatte.SquareW3x2.DisplayName,堤坝 3x2,-
Knatte.HighDam.DisplayName,高坝,-
Knatte.HighDam.Description,阻挡水流，但允许85%的水通过顶部的溢洪道。洪水风险更高！,-
Knatte.HighDam.FlavorDescription,水不会通过,-
Knatte.Corner2X.DisplayName,"装饰角落  
双倍高度",-
Knatte.Corner2X.Description,让大坝走到尽头。,-
Knatte.Corner2X.FlavorDescription,不防水,-
Knatte.SQCorner2X.DisplayName,"装饰方角
双高",-
Knatte.SQCorner2X.Description,让大坝陷入困境。,-
Knatte.SQCorner2X.FlavorDescription,不阻挡水,-
Knatte.Diagonal2X.DisplayName,"装饰对角线 
双高",-
Knatte.Diagonal2X.Description,让大坝向一侧倾斜。,-
Knatte.Diagonal2X.FlavorDescription,不防水,-
Knatte.InvCornerS2X.DisplayName,装饰内部角落侧平台双高度,-
Knatte.InvCornerS2X.Description,让大坝移到一旁，设立平台。,-
Knatte.InvCornerS2X.FlavorDescription,不阻挡水,-
Knatte.InvCorner2X.DisplayName,"装饰内角
双高",-
Knatte.InvCorner2X.Description,让大坝被困住。,-
Knatte.InvCorner2X.FlavorDescription,不阻挡水,-
Knatte.InvCornerW2X.DisplayName,"留内部角落
双层高度",-
Knatte.InvCornerW2X.Description,让大坝被逼入绝境。,-
Knatte.InvCornerW2X.FlavorDescription,水不会通过,-
Knatte.Slope2X.DisplayName,"装饰斜坡  
双高",-
Knatte.Slope2X.Description,让大坝倾斜。,-
Knatte.Slope2X.FlavorDescription,不阻挡水,-
Knatte.CornerSlope2X.DisplayName,"装饰斜角 
双高",-
Knatte.CornerSlope2X.Description,让大坝被围住。,-
Knatte.CornerSlope2X.FlavorDescription,不阻挡水,-
Knatte.Corner3X.DisplayName,"装饰角落  
三重高度",-
Knatte.Corner3X.Description,让大坝被逼入绝境。,-
Knatte.Corner3X.FlavorDescription,不阻挡水,-
Knatte.InvCorner3X.DisplayName,"装饰内角
三倍高度",-
Knatte.InvCorner3X.Description,让大坝被围困。,-
Knatte.InvCorner3X.FlavorDescription,不阻挡水,-
Knatte.Slope3X.DisplayName,装饰坡道三倍高度,-
Knatte.Slope3X.Description,让大坝倾斜。,-
Knatte.Slope3X.FlavorDescription,不防水,-
Knatte.InvCornerW3X.DisplayName,留内角三倍高度,-
Knatte.InvCornerW3X.Description,让大坝陷入困境。,-
Knatte.InvCornerW3X.FlavorDescription,水不会通过,-
Knatte.SlopeW_1.DisplayName,堤岸坡度,-
Knatte.SlopeW_2.DisplayName,堤坡 双倍高度,-
Knatte.SlopeW_3.DisplayName,"堤坡  
三重高度",-
Knatte.SlopeW.Description,在完整的方块中倾斜阻挡水流的方块,-
Knatte.SlopeW.FlavorDescription,水不会通过,-
Knatte.SlopeS.DisplayName,装饰楼梯,-
Knatte.SlopeS.Description,让大坝被踩踏。,-
Knatte.SlopeS.FlavorDescription,不阻挡水,-
Knatte.DiagPath.DisplayName,对角路径,-
Knatte.DiagPath.Description,沿着装饰和堤坝走的对角线路径。路径长度与普通道路相同，但看起来更美观。,-
Knatte.DiagPath.FlavorDescription,“海狸滑雪” — 一只快乐的海狸,-
Knatte.ToolGroup.DecorationBlocks,装饰块,-
Knatte.CategoryDam.DisplayName,木饰品,-
Knatte.CategoryDam.Des,不阻挡水,-
Knatte.CategoryLevees.DisplayName,形状堤坝,-
Knatte.CategoryLeveesSQ.DisplayName,方形堤坝,-
Knatte.CategoryDam2.DisplayName,木饰品,-
Knatte.CategoryDam2.Des,不阻挡水,-
Knatte.DoubleInvSlope.DisplayName,双重倒斜坡,-
Knatte.DoubleInvSlope.Description,堤坝和倒S形斜坡组合,-
Knatte.DoubleInvSlope.FlavorDescription,让我们建一座桥。,-
Knatte.Square1x2.DisplayName,装饰立方体 1x2,-
Knatte.Square1x3.DisplayName,装饰方块 1x3,-
Knatte.Square_B.Description,可以突出但不阻挡水的方形。,-
Knatte.Square_B.FlavorDescription,看，它在漂浮。,-
Knatte.InvSlope1x1.DisplayName,倒置坡度 1x1,-
Knatte.InvSlope1x2.DisplayName,倒斜坡 1x2,-
Knatte.InvSlope1x3.DisplayName,倒置坡道 1x3,-
Knatte.InvSlope2x1.DisplayName,倒斜坡 2x1,-
Knatte.InvSlope.Description,可以突出但不挡水的方形。,-
Knatte.InvSlope.FlavorDescription,我们出发吧,-
Knatte.InvTrapezium1x1.DisplayName,倒置梯形 1x1,-
Knatte.BlockDecoration.DisplaynameLocKey,美丽的水坝,-
Knatte.InvSlopeW1x1.DisplayName,倒置堤坡 1x1,-
Knatte.InvSlopeW1x2.DisplayName,倒置堤岸坡度 1x2,-
Knatte.InvSlopeW1x3.DisplayName,倒置堤岸斜率 1x3,-
Knatte.InvSlopeW2x1.DisplayName,倒坡堤坡度 2x1,-
Knatte.InvSlopeW.Description,可以突出部分的方形块。六角块的放置是全水，其他方块只能从上下方向放置，就像一个内置的防水地板。,-
Knatte.InvSlopeW.FlavorDescription,我们出发了,-
Knatte.InvTrapeziumW1x1.DisplayName,倒梯形堤坝 1x1,-
Knatte.DoubleInvSlopeW.Description,两侧突出的小方块。放置六角块，所有水只从顶部/底部流出，像是内置的防水地板。,-
Knatte.DoubleInvSlopeW.FlavorDescription,让我们建一座桥。,-
