ID,Text,Comment
TerrainTools.ToolGroupButton.Label,额外地形工具,-
TerrainTools.KeyBindingGroup.Label,地形工具,-
TerrainTools.Keybinding.Undo,撤销,-
TerrainTools.Keybinding.FastUndo,撤销 x 5,-
TerrainTools.Keybinding.Redo,重做,-
TerrainTools.Keybinding.FastRedo,重新做 5 次,-
TerrainTools.Keybinding.CycleMode,循环模式,-
TerrainTools.Common.Button.Apply,申请,-
TerrainTools.Common.Button.Reset,重置,-
TerrainTools.Heightmap.Tool.Title,高度图生成器,-
TerrainTools.Heightmap.Tool.Warning,更改会影响整个地图,-
TerrainTools.Heightmap.Button.Generate,生成,-
TerrainTools.Heightmap.Checkbox.ClearObjects,清除现有对象,-
TerrainTools.Heightmap.Generate.Hint,点击 {0} 更新地形。,-
TerrainTools.Heightmap.Generate.Warning,{0} 将被移除。此操作无法撤销。,-
TerrainTools.Heightmap.Clear.WaterSourcesOnly,所有水源,-
TerrainTools.Heightmap.Clear.All,所有物体,-
TerrainTools.Heightmap.Status.Idle,闲置,-
TerrainTools.Heightmap.Status.Generating,生成中,-
TerrainTools.Heightmap.Seed.Label,种子,-
TerrainTools.Heightmap.Seed.Lock.Label,锁,-
TerrainTools.Heightmap.Slider.LOD,细节级别,-
TerrainTools.Heightmap.Slider.Amplitude,振幅,-
TerrainTools.Heightmap.Slider.Frequency,频率,-
TerrainTools.Heightmap.Slider.Crest,徽章形状,-
TerrainTools.Heightmap.Slider.Base,基本形状,-
TerrainTools.Heightmap.Slider.Mean,平均身高,-
TerrainTools.Heightmap.Slider.Min,最小高度,-
TerrainTools.Heightmap.Slider.Max,最大高度,-
TerrainTools.Heightmap.Slider.PeriodX,时期X,-
TerrainTools.Heightmap.Slider.PeriodY,期间Y,-
TerrainTools.PathPainter.Tool.Title,路径画家,-
TerrainTools.PathPainter.Tool.Description,使用线条调整地形,-
TerrainTools.PathPainter.Tip.AddMove,{0} = 添加或移动积分,-
TerrainTools.PathPainter.Tip.DeleteHovered,{0} = 移除悬停点,-
TerrainTools.PathPainter.Tip.DeleteMultiple,{0}（保持）= 移除积分,-
TerrainTools.PathPainter.Curve.Button.Line,线路,-
TerrainTools.PathPainter.Curve.Button.3Points,3个要点,-
TerrainTools.PathPainter.Curve.Button.4Points,四个要点,-
TerrainTools.PathPainter.Curve.Button.Continuous,连续的,-
TerrainTools.PathPainter.Curve.Toggle.SingleSegment,单段,-
TerrainTools.PathPainter.Curve.Toggle.DrawEndCaps,光滑的端点,-
TerrainTools.PathPainter.Curve.Slider.Distance,距离,-
TerrainTools.PathPainter.ToggleText.Symmetry,对称性,-
TerrainTools.PathPainter.ToggleText.Symmetry.On,启用,-
TerrainTools.PathPainter.ToggleText.Symmetry.Off,禁用,-
TerrainTools.PathPainter.Button.ClearAll,清晰的路径,-
TerrainTools.Smoothing.Tool.Title,平滑刷,-
TerrainTools.Smoothing.Slider.Brush.Size,画笔大小,-
TerrainTools.Smoothing.Slider.Sample.Size,样本大小,-
TerrainTools.Smoothing.Slider.Force,力量,-
TerrainTools.Smoothing.ToggleGroup.Shape,画笔形状,-
TerrainTools.Smoothing.Shape.Square,正方形,-
TerrainTools.Smoothing.Shape.Circle,圆圈,-
TerrainTools.MoundMaker.Tool.Title,土堆制造者,-
TerrainTools.MoundMaker.Hint.CycleSeed,{0} = 循环种子,-
TerrainTools.MoundMaker.Hint.DigMode,{0}（保持）= 挖掘模式,-
TerrainTools.MoundMaker.Header.Shape,形状,-
TerrainTools.MoundMaker.Slider.PeakHeight,峰高,-
TerrainTools.MoundMaker.Slider.MaxChange,最大变化,-
TerrainTools.MoundMaker.Header.RadialNoise,径向噪声,-
TerrainTools.MoundMaker.Slider.Radial.Scale,规模,-
TerrainTools.MoundMaker.Slider.Radial.Frequency,频率,-
TerrainTools.MoundMaker.Slider.Radial.Detail,细节,-
TerrainTools.MoundMaker.Header.VerticalNoise,垂直噪声,-
TerrainTools.MoundMaker.Slider.Vertical.Amplitude,振幅,-
TerrainTools.MoundMaker.Slider.Vertical.Frequency,频率,-
TerrainTools.MoundMaker.Slider.Vertical.Detail,细节,-
TerrainTools.MoundMaker.Checkbox.Randomize,随机化,-
TerrainTools.MoundMaker.Seed.Label,种子,-
