ID,Text,Comment
Cadre.Group.Bombs.DisplayName,拓展炸弹,-
Cadre.Quadramite.DisplayName,四重炸弹,-
Cadre.Quadramite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Quadramite.FlavourDescription,为了在末世生存下去，海狸需要使用更极端的手段。,-
Cadre.Quintamite.DisplayName,五重炸弹,-
Cadre.Quintamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Quintamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Hexamite.DisplayName,六重炸弹,-
Cadre.Hexamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Hexamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Septamite.DisplayName,七重炸弹,-
Cadre.Septamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Septamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Octamite.DisplayName,八重炸弹,-
Cadre.Octamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Octamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Nonamite.DisplayName,九重炸弹,-
Cadre.Nonamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Nonamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Decamite.DisplayName,十重炸弹,-
Cadre.Decamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Decamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Undecamite.DisplayName,十一重炸弹,-
Cadre.Undecamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Undecamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Dodecamite.DisplayName,十二重炸弹,-
Cadre.Dodecamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Dodecamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Tredecamite.DisplayName,十三重炸弹,-
Cadre.Tredecamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Tredecamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Quadradecamite.DisplayName,十四重炸弹,-
Cadre.Quadradecamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Quadradecamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Quintadecamite.DisplayName,十五重炸弹,-
Cadre.Quintadecamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Quintadecamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Hexadecamite.DisplayName,十六重炸弹,-
Cadre.Hexadecamite.Description,摧毁下方地面，并引爆附近的炸弹。,-
Cadre.Hexadecamite.FlavourDescription,摧毁下方地面，并引爆附近的炸弹。,-
