ID,Text,Comment
Cordial.Good.Fertilizer.DisplayName,树肥,-
Cordial.Good.Fertilizer.PluralDisplayName,树木肥料,-
Cordial.Fertilizer.Mild,树木肥料,-
Cordial.Fertilizer.Strong,树木肥料,-
Cordial.Building.Chemist.Description,厨师化学混合物,-
Cordial.Building.Chemist.DisplayName,化学家,-
Cordial.Building.Chemist.FlavorDescription,内部的奇妙装置仅用于科学目的。,-
Cordial.Building.FertilizerDump.Description,给栽种的树木施肥,-
Cordial.Building.FertilizerDump.DisplayName,肥料倾倒场,-
Cordial.Building.FertilizerDump.FlavorDescription,树木肥料能促进生长和产量。,-
Cordial.Building.FertilizerDump.Consumption,肥料消费,-
Cordial.Building.FertilizerDump.TreeCount,受影响的树木,-
Cordial.Building.FertilizerDump.FertilizeYield,对树木采集物施肥,-
Cordial.TreeFragment.Title,生长受肥料的影响。,-
Cordial.TreeFragment.GrowthDaily,日常增长增加了,-
Cordial.TreeFragment.GrowthAverage,平均增长减少了,-
Cordial.TreeFragment.YieldAverage,平均产量增长减少了,-
Cordial.Unit.Days,天,-
Cordial.Unit.PerHour,Error,-
