ID,Text,Comment
Good.Stew.PluralDisplayName,炖菜,-
Faction.waterbeavers.DisplayName,白爪,-
Faction.waterbeavers.Description,"真正海狸之路的追随者们，对他们来说，一切都是家。他们的人口常常失控膨胀，食物和水源耗尽，科学是一种奢侈，而你的失败是不可避免的。

忘掉其他派别教给你的东西，欢迎来到你最粉红的噩梦。
<color=red>确保查看广告牌！</color>

<color=black>海狸的艺术和纹理由Wolfess制作，感谢您！许多图标由Thorlak制作，也非常感谢！</color>",-
trashdump.DisplayName,破损的探险手推车,-
trashdump.Description,你的第一个地区中心，如果可以这么称呼的话。只有在建设更好的市中心之后才能拆除。,-
trashdump.FlavorDescription,"""我们不能再往前走，但我们可以在这里安顿下来。""  
- 探险队队长",-
Luc.Primitivemine.DisplayName,原始矿井,-
Luc.Primitivemine.Description,"一种小型且低效的获取矿产资源的方式  
<color=green>需要瞄准地下两层以下</color>",-
Luc.Primitivemine.FlavorDescription,"""海狸并不适合挖掘岩石。""",-
Lapantouflemagic.Mediummine.DisplayName,中型矿,-
Lapantouflemagic.Mediummine.Description,"一个更大更深的矿井可以开采更丰富的矿藏，同时也能够获取更稀有的元素。
配有通道和障碍物，以防止小孩子跌落受伤。
<color=green>需要放置在一个深度为4的洞里！
矿井和围栏必须建在坚固的地面上！
将楼梯放在土壤上，并完成通道坡道</color>",-
Lapantouflemagic.Mediummine.FlavorDescription,"“我不相信鬼魂和怪物，究竟什么是可怕的生物呢？”  
 -矿工佐克，遗言",-
Lapantouflemagic.Primitivesmetler.DisplayName,原始冶炼炉,-
Lapantouflemagic.Primitivesmetler.Description,"在一个土坩埚中混合铁矿石和煤，点燃。  
<color=#FF6EC7>可以在没有工人的情况下运作。</color>",-
Lapantouflemagic.Primitivesmetler.FlavorDescription,"""我们对这个食谱确定吗？""",-
Lapantouflemagic.Woodburner.DisplayName,木炭炉,-
Lapantouflemagic.Woodburner.Description,"一个特殊的火坑，将木材变成木炭。
<color=#FF6EC7>可以在没有工人的情况下运行。</color>",-
Lapantouflemagic.Woodburner.FlavorDescription,"“哦，这将是清除……呃……木屑的好办法！是的，木屑……当然。”  
- 啃咬者杰克",-
Lapantouflemagic.Screwpress.DisplayName,螺旋压榨机,-
Lapantouflemagic.Screwpress.Description,一个强力压榨机，用于从向日葵种子中提取油。<color=#00FFFF>作为堤坝工作</color>,-
Lapantouflemagic.Screwpress.FlavorDescription,"""葵花籽油，既适合沙拉也适用于机器""",-
Lapantouflemagic.Alchemist.DisplayName,炼金术士,-
Lapantouflemagic.Alchemist.Description,"一个舒适的实验室来准备基本的化学反应。  
<color=#00FFFF>作为一个堤坝</color>",-
Lapantouflemagic.Alchemist.FlavorDescription,“希望它不会爆炸。”,-
Lapantouflemagic.Handicrafter.DisplayName,手工艺者小屋,-
Lapantouflemagic.Handicrafter.FlavorDescription,“只要我们不需要太多那个……”,-
Lapantouflemagic.Copistlodge.DisplayName,抄写员旅馆,-
Lapantouflemagic.Copistlodge.Description,"用于复制现有蓝图的联排别墅。  
<color=#00FFFF>作为堤防使用</color>",-
Lapantouflemagic.Copistlodge.FlavorDescription,"“所以我工作的第一部分，就是移除这些荒谬的装饰。”  
-抄写员河狸",-
Lapantouflemagic.Artsylodge.DisplayName,艺术家小屋,-
Lapantouflemagic.Artsylodge.Description,"一个用于装饰的联排 townhouse 复制蓝图。  
<color=#00FFFF>作为一个堤坝</color>",-
Lapantouflemagic.Artsylodge.FlavorDescription,"“是的，蓝图必须很精美才能可用。”
 -艺术家海狸",-
Lapantouflemagic.Builderslodge.DisplayName,建筑者小屋,-
Lapantouflemagic.Builderslodge.Description,"为两个额外的建筑工人提供的联排别墅。  
<color=#00FFFF>作为堤坝工作</color>",-
Lapantouflemagic.Builderslodge.FlavorDescription,"""我终于有了自己的空间！""",-
Luc.Lodge.Description,一个为运输海狸设计的小房子。<color=#00FFFF>作为堤坝使用</color>,-
Lapantouflemagic.primitivedam.DisplayName,原始水坝,-
Lapantouflemagic.primitivedam.Description,一种半防水的结构，建造方式如同古老的海狸所用的那样。,-
Lapantouflemagic.primitivedamupgrade.DisplayName,原始坝升级,-
Lapantouflemagic.primitivedamupgrade.Description,在一个旧坝上建起了一个更高的坝。,-
Lapantouflemagic.primitivedamupgrade.FlavorDescription,“也许我们可以靠这个活下来。”,-
Lapantouflemagic.primitivedamUtility.DisplayName,水电站大坝,-
Lapantouflemagic.primitivedamUtility.Description,一种更好的十字形坝变体，可以让河狸在一个方向上通行，而在另一个方向上则包含一个动力轴。,-
