ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3 巨型红杉,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??树,-
MapMakerPlants.Brambles.DisplayName,荆棘,-
MapMakerPlants.NewVineV.DisplayName,藤蔓（垂直）,-
MapMakerPlants.NewVineH.DisplayName,藤蔓（横向）,-
MapMakerPlants.Waterbamboo.DisplayName,2x2 W.竹子,-
MapMakerPlants.Baobab.DisplayName,5x5 猴面包树,-
MapMakerPlants.LemonTree.DisplayName,柠檬树,-
MapMakerPlants.PinkBirch.DisplayName,永盛花,-
MapMakerPlants.RuinedPath.DisplayName,毁坏的道路,-
MapMakerPlants.BrokenHouse.DisplayName,破旧的房子（木材）,-
MapMakerPlants.PlankRuin.DisplayName,破旧的房子（木板）,-
NaturalResource.PinkBirch.DisplayName,常开花,-
Good.Pumpkin.DisplayName,南瓜,-
Good.Pumpkin.PluralDisplayName,南瓜,-
NaturalResource.Waterbamboo.DisplayName,难以置信的高竹子,-
Lapantouflemagic.NewVineH.DisplayName,葡萄藤,-
MapMakerPlants.GearsRuin.DisplayName,破旧的房子（齿轮）,-
MapMakerPlantReader.GrapeNeed.DisplayName,葡萄,-
MapMakerPlantReader.Lemonade.DisplayName,柠檬水,-
MapMakerPlantReader.Lemonade.PluralDisplayName,柠檬水,-
Good.RedGrapes.DisplayName,葡萄,-
Good.RedGrapes.PluralDisplayName,葡萄,-
MapMakerPlantReader.Lemons.DisplayName,柠檬,-
MapMakerPlantReader.Lemons.PluralDisplayName,柠檬,-
MapMakerPlants.CrystalSupport.Description,"支持在Z级1以上放置浮动水晶。  
可自我堆叠  
在游戏中将不可见且没有碰撞箱",-
MapMakerPlants.CrystalSupport.DisplayName,水晶支持,-
MPME.FloatingRock.DisplayName,漂浮水晶,-
MPME.FloatingRock.Description,漂浮在空中的浮筒，以支撑天空岛。,-
MPME.FloatingRock.FlavorDescription,"“它是怎么运作的？”
哦？哦，难道现在？经过这么多年？经历了这么多游戏？你现在来问我这些是怎么运作的？",-
Building.SkyBadwaterSource.DisplayName,天空巴德沃特源,-
Building.SkyWaterSource.DisplayName,天水源,-
Building.VoidSinkHole.DisplayName,天坑天空岛,-
Building.VoidSinkHole.Description,"视觉上会删除其下方的地面。  
作为一个负水源，删除从岛屿上掉落的水。  
游戏中将不可见旗帜。",-
MapMakerPlants.VoidTile.DisplayName,天空区块,-
MapMakerPlants.VoidTile.Description,视觉上删除了它下面的地面。对于那些你从未期待能看到水的地方。,-
MapMakerPlants.VoidTileLarge.DisplayName,天空岛 9x9,-
