ID,Text,Comment
LV.SE.Enabled,定期存档,-
LV.SE.EnabledDesc,勾选后，将根据游戏内天数变化定期保存。,-
LV.SE.SaveFrequency,定期保存频率,-
LV.SE.SaveFrequencyDesc,定期保存的间隔天数，即每隔多少天保存一次（模组默认：1）。,-
LV.SE.SaveCount,定期存档数量,-
LV.SE.SaveCountDesc,可保留的定期存档数量（模组默认：5）。,-
LV.SE.SaveWeatherWarning,额外存档（周期变化）,-
LV.SE.SaveWeatherWarningDesc,勾选后，将在恶劣天气预报时自动保存，下一次恶劣天气预报时会自动覆盖保存。,-
LV.SE.AutosaveWarning,自动保存前提醒,-
LV.SE.AutosaveWarningDesc,在游戏自动保存之前显示一个警告。这对不喜欢游戏在自动保存时出现卡顿的玩家很有帮助。,-
LV.SE.AutosaveWarningText,自动保存即将在 {0} 游戏小时内进行！,-
LV.SE.AutosaveDoneText,游戏已自动保存（每天保存）！,-
