ID,Text,Comment
LV.CTZ.TubewaySpeed,地铁附加速度,-
LV.CTZ.TubewaySpeedDesc,管道的加速（游戏默认：300%）,-
LV.CTZ.ZiplineSpeed,滑索额外速度,-
LV.CTZ.ZiplineSpeedDesc,滑索的速度（游戏默认：150%）,-
LV.CTZ.ZiplineSpeedMaxCon,滑索最大连接数,-
LV.CTZ.ZiplineSpeedMaxConDesc,滑索所能拥有的最大连接数（游戏默认：2）,-
LV.CTZ.ZiplineSpeedMaxDistance,滑索最大距离,-
LV.CTZ.ZiplineSpeedMaxDistanceDesc,滑索的最大距离（游戏默认：30）,-
LV.CTZ.ZiplineSpeedMaxInclination,缆绳最大倾斜角度,-
LV.CTZ.ZiplineSpeedMaxInclinationDesc,滑索电缆的最大倾斜度（游戏默认为：50）,-
LV.CTZ.ZiplineThroughObstacles,穿越障碍的滑索,-
LV.CTZ.ZiplineThroughObstaclesDesc,允许滑索穿越障碍物（游戏默认：关闭）,-
LV.CTZ.ZiplineForIronTeeth,铁牙滑索,-
LV.CTZ.ZiplineForIronTeethDesc,让铁齿修建滑索（游戏默认：关闭）,-
LV.CTZ.TubewayForFolktails,Folktails的管道,-
LV.CTZ.TubewayForFolktailsDesc,让民间故事建立管道 (游戏默认: 假),-
LV.CTZ.NoWaterPenalty,没有水速惩罚,-
LV.CTZ.NoWaterPenaltyDesc,在水中行驶时没有速度惩罚（游戏默认：假）,-
