ID,Text,Comment
LV.CAS.Enabled,自动存档调整,-
LV.CAS.EnabledDesc,勾选后，游戏默认的自动保存机制可以被下列选项更改。,-
LV.CAS.SaveFrequency,自动保存频率,-
LV.CAS.SaveFrequencyDesc,自动保存的间隔时间，即每隔多少分钟保存一次（游戏默认：10）。,-
LV.CAS.SaveCount,自动存档数量,-
LV.CAS.SaveCountDesc,可保留的自动存档数量（游戏默认：3）。,-
LV.CAS.SaveWeatherWarning,额外存档（周期变化）,-
LV.CAS.SaveWeatherWarningDesc,勾选后，将在恶劣天气预警时自动保存，下一次恶劣天气预警时会自动覆盖保存。,-
LV.CAS.KeyBindingTriggerAutosave,强制自动保存,-
LV.CAS.AutosaveWarning,自动保存前警告,-
LV.CAS.AutosaveWarningDesc,在游戏自动保存之前显示一个警告。这对那些不喜欢在自动保存时游戏卡顿的玩家很有帮助。,-
LV.CAS.AutosaveWarningText,在{0}秒内即将自动保存！,-
