ID,Text,Comment
LV.BPSP.PowersGroup,力量,-
LV.BPSP.PowersGroupDesc,改善您发电能力的项目,-
LV.BPSP.WaterWheelUp1,轻柔雾流,-
LV.BPSP.WaterWheelUpEff,水轮发电的输出功率在一天中从{0:+#%}增加到{1:+#%}。,-
LV.BPSP.WaterWheelUp1Lore,轻雾轻拂着我们的车轮，让我们在一天中轻松前行。,-
LV.BPSP.WaterWheelUp2,稳定雾涌,-
LV.BPSP.WaterWheelUp2Lore,“看那雾气升起——轮子在黄昏时几乎在唱歌！”— Misttail Spinner,-
LV.BPSP.WaterWheelUp3,浓缩雾发电机,-
LV.BPSP.WaterWheelUp3Eff,水车的功率全天永久增加 {0:+#%}。,-
LV.BPSP.WaterWheelUp3Lore,我们已将雾气提炼成一种恒定的力量，始终以最高功率驱动车轮。,-
LV.BPSP.WaterWheelUpBuffDesc,雾技术为我们的水轮提供了助力。,-
LV.BPSP.WaterWheelFlowUp1,热流稳定器,-
LV.BPSP.WaterWheelFlowUp1Eff,水轮的能量不会低于 {0:+#%}，只要有水，即使没有水流也如此。如果你的当前能量已经更高，它就没有任何作用。,-
LV.BPSP.WaterWheelFlowUp1Lore,温泉在下面冒泡，推动车轮挑战河流懒散的情绪。,-
LV.BPSP.WaterWheelFlowUp2,蒸汽增压提升,-
LV.BPSP.WaterWheelFlowUp2Eff,热流稳定器在每个等级下提供额外的 {0:+#%} 最小值。,-
LV.BPSP.WaterWheelFlowUp2Cost,每个水轮每级的成本,-
LV.BPSP.WaterWheelFlowUp2Lore,“更多的热量，更多的蒸汽——车轮不会在牢固的推动下下降！” — 锅炉尾汽匠,-
LV.BPSP.WaterWheelFlowUpBuffDesc,热能技术帮助我们的水轮在没有水流时也能产生电力。,-
LV.BPSP.PowerOutputMulEff,{0:+#%} 功率输出,-
LV.BPSP.PowerOutputMulDayEff,{0:+#%} 功率输出（从 {1:+#%} 到 {2:+#%}）,-
LV.BPSP.PowerOutputFlatEff,从{1}的HP功率输出{0:+#},-
LV.BPSP.GeneratorStrMinEff,{0:+#%} 当有水时的最低功率输出来自 {1},-
LV.BPSP.WheelWorkerUp,变速器劳动同步,-
LV.BPSP.WheelWorkerUpEff,减少大型动力轮工作者的需求 {0}，保持全功率输出。,-
LV.BPSP.WheelWorkerUpLore,“齿轮现在独自舞动——越来越少的尾巴，却依然雷鸣般的旋转！” — 克兰克尾监管者,-
LV.BPSP.WheelBotUp,机器人集成轴,-
LV.BPSP.WheelBotUpEff,允许机器人操作动力轮，而不仅仅是海狸。,-
LV.BPSP.WheelBotUpLore,“机器人旋转得比尾巴更好——效率是我们的游戏！” — 博尔特旋转机器人大师,-
LV.BPSP.WindmillHeightUp,高空风压器,-
LV.BPSP.WindmillHeightUpEff,风车（常规和大型）在其最高点每增加一个高度级别会获得{0:+#%}更多的能量。,-
LV.BPSP.WindmillHeightUpLore,“我们栖息在高空，品味着让树梢羡慕的微风！”——风潮，微风的守护者,-
LV.BPSP.WindmillHeightBuffEff,{0:+#%} 每个高度水平的功率,-
LV.BPSP.WindmillSizeUp,紧凑型风帆,-
LV.BPSP.WindmillSizeUpEff,风车现在只占据1x1的区域，而不是3x3的区域。,-
LV.BPSP.WindmillSizeUpLore,民间故事用柳条编织出更紧的帆——占据的土地更少，风的低语更多。,-
LV.BPSP.SparePowerScience,能量流思维机,-
LV.BPSP.SparePowerScienceEff,您殖民地中任何未使用的能量都会转化为科学。转化率：{0}HP-小时转换为1科学，向下取整。电池不受影响，并且不会影响该项目的任何计算。,-
LV.BPSP.SparePowerScienceLore,“额外的瓦特在周围嗡嗡作响？现在它们直接注入我们最聪明的想法！” — Sparkchew Thinkatron,-
