ID,Text,Comment
LV.ARSP.AlternativeRecipesGroup,配方改良,-
LV.ARSP.AlternativeRecipesGroupDesc,解锁更多替代配方的科学项目。,-
LV.ARSP.LockReason,需要在科学项目中解锁此配方。,-
LV.ARSP.PlankBulkProcessing,木板（并行切削法）,-
LV.ARSP.PlankBulkProcessingRecipe,板材（散装）,-
LV.ARSP.PlankBulkProcessingLore,海狸们并排原木，慢速切削，有效提高了木板产量。,-
LV.ARSP.PlankBulkProcessingEff,解锁[配方]：{0} 木材 ⇒ {1} 木板，需在木材厂花费 {2} 小时,-
LV.ARSP.DirectLogForging,齿轮（慢速打磨法）,-
LV.ARSP.DirectLogForgingRecipe,齿轮 (直接),-
LV.ARSP.DirectLogForgingLore,海狸们发现啃咬打磨原木也能直接制成齿轮，虽然粗糙，但很实用。,-
LV.ARSP.DirectLogForgingEff,解锁 [配方]：{0} 木材 ⇒ {1} 齿轮，在齿轮工作坊中需 {2} 小时,-
LV.ARSP.RapidGearPress,齿轮（堆叠切削法）,-
LV.ARSP.RapidGearPressRecipe,齿轮（快速）,-
LV.ARSP.RapidGearPressLore,通过快速冲压和额外堆叠，海狸们能更快地生产齿轮——但废料堆也增长得同样快。,-
LV.ARSP.RapidGearPressEff,解锁 [配方]: {0} 木板 ⇒ {1} 齿轮，需 {2} 小时在齿轮车间完成,-
LV.ARSP.HighYieldLogPress,齿轮（高速冲压法）,-
LV.ARSP.HighYieldLogPressRecipe,齿轮（高产）,-
LV.ARSP.HighYieldLogPressLore,经过多次试验，海狸们完善了水力冲压技术，能以惊人速度将原木直接变成齿轮。,-
LV.ARSP.HighYieldLogPressEff,解锁 [配方]: {0} 原木 ⇒ {1} 齿轮在 {2} 小时内在齿轮车间,-
LV.ARSP.ResinFiredSmelter,金属块（松脂隔热法）,-
LV.ARSP.ResinFiredSmelterRecipe,金属块（树脂烧制）,-
LV.ARSP.ResinFiredSmelterLore,神尾们发现了松脂的隔热性，建造出温度稳定的冶炼炉，实现快速金属加工。,-
LV.ARSP.ResinFiredSmelterEff,解锁 [配方]: {0} 废金属 + {1} 松树树脂 ⇒ {2} 金属块在熔炉中需要 {3} 小时 (仅限 Folktails),-
LV.ARSP.WoodReinforcedAlloy,金属块（木材强化法）,-
LV.ARSP.WoodReinforcedAlloyRecipe,金属块（木材加固）,-
LV.ARSP.WoodReinforcedAlloyLore,神尾们将树脂木板作为金属块的内芯，使金属块强度大大提升。,-
LV.ARSP.WoodReinforcedAlloyEff,解锁 [食谱]: {0} 废金属 + {1} 处理过的木板 ⇒ {2} 金属块，需时 {3} 小时在熔炉中（仅限 Folktails）,-
LV.ARSP.SteelBoundPlanks,树脂木板（金属强化法）,-
LV.ARSP.SteelBoundPlanksRecipe,处理过的木板（钢包边）,-
LV.ARSP.SteelBoundPlanksLore,铁牙们将金属块制成加固网格，无需一滴松脂就能强化木板硬度。,-
