ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,在乾旱開始時設置高度,-
Floodgate.Triggers.EnableOnDroughtEnded,在乾旱結束時設置高度,-
Floodgate.Schedule.Enable,在日程上設定高度,-
Floodgate.Schedule.DisableOnDrought,在乾旱期間禁用排程,-
Floodgate.Schedule.DisableOnTemperate,在温和时段禁用日程安排,-
Floodgate.Triggers.Time,時間,-
Floodgate.Triggers.Height,高度,-
Floodgate.Triggers.Basic,基本,-
Floodgate.Triggers.Timer,計時器,-
Floodgate.Triggers.Advanced,高級,-
Floodgate.Triggers.AttachToStreamGauge,附上水流計,-
Floodgate.Triggers.PickStreamGaugeTitle,選擇一個河流測流儀,-
Floodgate.Triggers.PickStreamGaugeTip,唔好真係，隨便揀一個。,-
Floodgates.Triggers.NoLinks,沒有連接流量測量儀,-
Floodgates.Triggers.NoFloodgateLinks,沒有連結的物件,-
Floodgates.Triggers.LinkedFloodgates,鏈接對象,-
Floodgates.Triggers.Threshold1,流量計低閾值,-
Floodgates.Triggers.Threshold2,水流計高閾值,-
Floodgates.Triggers.HeightWhenBelowThreshold1,水閘高度低於低閾值,-
Floodgates.Triggers.HeightWhenAboveThreshold2,洪閘高度超出高閾值,-
Floodgate.Triggers.PauseOnDroughtStart,當乾旱開始時暫停,-
Floodgate.Triggers.UnpauseOnDroughtStart,在干旱開始時重新開始,-
Floodgate.Triggers.UnpauseOnTemperateStart,當氣溫開始時解除暫停,-
Floodgate.Triggers.PauseOnTemperateStart,當溫度開始時暫停,-
Floodgates.WaterpumpTrigger.Threshold1,暫停 <,-
Floodgates.WaterpumpTrigger.Threshold2,暫停 >,-
Floodgates.WaterpumpTrigger.Threshold3,解除暫停 <,-
Floodgates.WaterpumpTrigger.Threshold4,取消暫停 >,-
Floodgates.WaterpumpTrigger.PauseStartTime,暫停於,-
Floodgates.WaterpumpTrigger.ResumeStartTime,重新開始於,-
Floodgates.WaterpumpTrigger.DisableDuringDrought,在乾旱期間禁用,-
Floodgates.WaterpumpTrigger.DisableDuringTemperate,在温带期间禁用,-
Floodgate.Triggers.PauseOnSchedule,按計劃暫停,-
Floodgate.Triggers.EnableOnBadtideStarted,當壞潮開始時設置高度,-
Floodgate.Triggers.EnableOnBadtideEnded,在壞潮結束時設置高度,-
Floodgate.Schedule.DisableOnBadtide,在低潮期間禁用排程,-
Floodgates.WaterpumpTrigger.DisableDuringBadtide,在低潮期間禁用,-
Floodgate.Triggers.PauseOnBadtideStart,在壞潮開始時暫停,-
Floodgate.Triggers.UnpauseOnBadtideStart,當壞潮開始時解除暫停,-
Floodgates.Triggers.ContaminationThresholdLow,污染低閾值,-
Floodgates.Triggers.ContaminationThresholdHigh,污染高閾值,-
Floodgates.Triggers.HeightWhenBelowContaminationThresholdLow,將高度設置在低污染之下,-
Floodgates.Triggers.HeightWhenAboveContaminationThresholdHigh,設置高污染之上的高度,-
Floodgates.Triggers.Depth,深度,-
Floodgates.Triggers.Contamination,污染,-
Floodgates.WaterSourceRegulator.Threshold1,關閉<,-
Floodgates.WaterSourceRegulator.Threshold2,關閉 >,-
Floodgates.WaterSourceRegulator.Threshold3,打開 <,-
Floodgates.WaterSourceRegulator.Threshold4,打開 >,-
Floodgates.WaterSourceRegulator.CloseStartTime,關閉於,-
Floodgates.WaterSourceRegulator.OpenStartTime,開放於,-
Floodgates.WaterSourceRegulator.DisableDuringDrought,在旱季期間禁用,-
Floodgates.WaterSourceRegulator.DisableDuringTemperate,在氣溫時禁用,-
Floodgate.WaterSourceRegulator.CloseOnDroughtStart,在旱季開始時關閉,-
Floodgate.WaterSourceRegulator.OpenOnDroughtStart,乾旱開始時打開,-
Floodgate.WaterSourceRegulator.OpenOnTemperateStart,當氣候變暖時打開,-
Floodgate.WaterSourceRegulator.CloseOnTemperateStart,當溫帶開始時關閉,-
Floodgate.WaterSourceRegulator.OpenOnBadtideStart,在壞潮開始時打開,-
Floodgate.WaterSourceRegulator.CloseOnBadtideStart,在壞潮開始時關閉,-
Floodgate.Schedule.CloseOnSchedule,按時間表關閉/打開,-
Floodgates.WaterSourceRegulator.DisableDuringBadtide,在低潮期間禁用,-
Floodgates.Triggers.Empty,Error,-
