ID,Text,Comment
Good.Stew.PluralDisplayName,燉菜,-
Faction.waterbeavers.DisplayName,白爪,-
Faction.waterbeavers.Description,"真正海狸之路的追隨者，對他們來說，所有東西都是一個家。他們的人口經常失去控制，食物和水源耗盡，科學成為奢侈品，而你的失敗是不可避免的。

忘記其他派系教你的東西，歡迎來到你最粉紅的噩夢。
<color=red>務必查看廣告牌！</color>

<color=black>海狸藝術和紋理由Wolfess創作，感謝大大！許多圖示由Thorlak提供，感謝大大！</color>",-
trashdump.DisplayName,破爛的探險車,-
trashdump.Description,你的第一個區域中心，如果可以這樣稱呼的話。在建立一個更好的市中心之前，請勿拆除。,-
trashdump.FlavorDescription,"「我哋唔可以再進一步，但我哋可以喺呢度安頓。」  
- 探險隊隊長",-
Luc.Primitivemine.DisplayName,原始礦場,-
Luc.Primitivemine.Description,"一個小而低效的獲取礦產資源的方法  
<color=green>需要瞄準地面以下兩層</color>",-
Luc.Primitivemine.FlavorDescription,「海狸是無法挖掘岩石的」,-
Lapantouflemagic.Mediummine.DisplayName,中型礦山,-
Lapantouflemagic.Mediummine.Description,"一個更大更深的礦井來開採更豐富的礦藏，也可以接觸到更稀有的元素。
設有通道梯和障礙物，以防止小孩摔倒受傷。
<color=green>必須放置在4格深的洞裡！
礦井和圍欄必須建在堅固的地面上！
將樓梯放在泥土上並完成進入坡道</color>",-
Lapantouflemagic.Mediummine.FlavorDescription,"「我唔相信鬼同怪物，啲恐怖生物根本係咩嚟？」  
 -礦工佐克，最後一句話",-
Lapantouflemagic.Primitivesmetler.DisplayName,原始冶煉廠,-
Lapantouflemagic.Primitivesmetler.Description,"在一個泥土熔爐中混合鐵礦和煤炭點燃。  
<color=#FF6EC7>可以在沒有工人的情況下運作。</color>",-
Lapantouflemagic.Primitivesmetler.FlavorDescription,「我們對這個食譜有把握嗎？」,-
Lapantouflemagic.Woodburner.DisplayName,木炭爐,-
Lapantouflemagic.Woodburner.Description,一個特別的火坑，可以將木材轉化為炭。<color=#FF6EC7>可以在沒有工人的情況下運行。</color>,-
Lapantouflemagic.Woodburner.FlavorDescription,「哦，這將是擺脫...呃...鋸屑的好方法！是的，鋸屑...當然。」 -啃噬者傑克,-
Lapantouflemagic.Screwpress.DisplayName,螺絲壓榨機,-
Lapantouflemagic.Screwpress.Description,"一個強力的壓榨機，用來從向日葵種子中提取油。
<color=#00FFFF>像堤壩一樣運作</color>",-
Lapantouflemagic.Screwpress.FlavorDescription,"""葵花油，沙律和機器都必不可少""",-
