ID,Text,Comment
Building.PipeBox.DisplayName,帶管的箱子,-
Building.PipeStraight.DisplayName,管道直通,-
Building.PipeTurn.DisplayName,管道轉向,-
Building.PipeTIntersection.DisplayName,管道T型交叉口,-
Building.PipeXIntersection.DisplayName,管道X交匯點,-
Building.PipeUpward.DisplayName,上升管,-
Building.PipeVertical.DisplayName,直管,-
Building.PipeDownward.DisplayName,向下的管道,-
Building.PipeBox.Description,一條在防水塊中的管。,-
Building.PipeValve.DisplayName,管道閥門,-
Building.PipeValve.Description,當未被浸沒時，請倒出水。,-
Building.PipeWaterPump.DisplayName,水泵盒,-
Building.PipeWaterPump.Description,使用電力將水轉移至最深可達6的深度。,-
Building.PipeWaterPump.TakeToPipe,把水送到管道。,-
Building.PipeWaterPump.TakeFromPipe,從水管取水。,-
Building.PipeGeneric.Description,轉移水。,-
Building.PipeGeneric.Blocked.Short,管道堵塞,-
Building.PipeGeneric.Blocked,某些管道入口被另一座大廈或地形阻塞。僅可與另一根管道連接。,-
Building.WaterShield.DisplayName,水盾,-
Building.WaterShield.Description,強大的機器，當通電時可排水。小心別因缺乏電力而被淹沒。,-
