ID,Text,Comment
CBW.ChangeWalkingSpeed,改變行走速度,-
CBW.ChangeWalkingSpeedDesc,如果啟用，海狸和機器人的行走速度將會改變。,-
CBW.BaseWalkingSpeed,基本行走速度,-
CBW.BaseWalkingSpeedDesc,海狸的基本步行速度（遊戲默認值：2.7）,-
CBW.BaseSlowedSpeed,基準減速,-
CBW.BaseSlowedSpeedDesc,海狸的基本減速 (遊戲默認：1.5),-
CBW.DifferentBotSpeed,不同速度的機械人,-
CBW.DifferentBotSpeedDesc,如果啟用，機械人會有不同的行走速度。可能會對性能有輕微影響。,-
CBW.BaseBotWalkingSpeed,機械人基本行走速度,-
CBW.BaseBotWalkingSpeedDesc,機械人步行的基本速度（遊戲默認：2.7）,-
CBW.BaseBotSlowedSpeed,機械人基礎減速速度,-
CBW.BaseBotSlowedSpeedDesc,機械人的基礎減速速度（遊戲預設：1.5）,-
CBW.CarryingWeightMultiplier,攜帶重物倍增器,-
CBW.CarryingWeightMultiplierDesc,海狸和機器人最大承載重量的倍數（遊戲默認：1）。注意：在重新加載保存檔之前不會生效。,-
