ID,Text,Comment
DAM.EnableAll,啟用所有,-
DAM.EnableAllDesc,檢查以在退出時啟用所有模組。需要重啟，並且這會自動取消選中。,-
DAM.DisableAll,禁用全部,-
DAM.DisableAllDesc,離開時檢查以禁用所有模組。需要重新啟動，並且這會自動取消選中。,-
DAM.KeepEnabled,保持啟用,-
DAM.KeepEnabledDesc,如果選擇禁用所有，則用分號 ';' 分隔的模組 ID 列表，這些模組將保持啟用。,-
DAM.LoadProfile,載入個人資料,-
DAM.LoadProfileDesc,啟用來自「mods.txt」文件中的模組ID。該文件應該放在模組的資料夾內。,-
DAM.SaveProfile,保存個人檔案,-
DAM.SaveProfileDesc,將已啟用的模組保存到'mods.txt'文件中。該文件將位於模組的文件夾內。,-
DAM.ViewProfileFolder,查看個人資料文件夾,-
DAM.ViewProfileFolderDesc,打開包含 'mods.txt' 文件的資料夾。,-
DAM.RestartGame,確定 & 重新開始遊戲,-
