ID,Text,Comment
LV.TI.EnableFreeCamera,啟用自由相機,-
LV.TI.EnableFreeCameraDesc,去除遊戲中的相機限制。,-
LV.TI.DisableFog,禁用霧雲,-
LV.TI.DisableFogDesc,在遊戲中去除霧氣。,-
LV.TI.PauseBadWeather,因惡劣天氣暫停,-
LV.TI.PauseBadWeatherDesc,當出現惡劣天氣（乾旱、惡潮）時暫停遊戲。,-
LV.TI.ShowCoords,顯示坐標,-
LV.TI.ShowCoordsDesc,在右上角顯示區塊坐標。Z 是高度。尚未為更新 7 提供此功能。,-
LV.TI.CoordsLabel,"(X, Y, Z): ({0}, {1}, {2})",-
LV.TI.HeightLabel,高度：{0},-
LV.TI.OnlyShowHeight,只顯示高度,-
LV.TI.OnlyShowHeightDesc,只顯示高度，而不是完整坐標。,-
LV.TI.PrioritizeRubbles,優先處理碎石,-
LV.TI.PrioritizeRubblesDesc,自動將碎石的優先級設置為高。,-
LV.TI.AllDayLight,沒有日光變更,-
LV.TI.AllDayLightDesc,視覺/用戶界面專用。所選擇的日光將保持不變，而不是隨著白天改變。,-
LV.TI.ShowGameTime,顯示遊戲時間,-
LV.TI.ShowGameTimeDesc,在右上角顯示當前遊戲時間。,-
LV.TI.EnableSpeedS25,啟用0.25倍速 [Shift+1],-
LV.TI.EnableSpeedS25Desc,在遊戲中按 Shift+1 解鎖 0.25x 速度選項。通常，這僅在開發模式下可用。,-
LV.TI.EnableSpeed4,啟用30倍速 [4],-
LV.TI.EnableSpeed4Desc,按4鍵在遊戲中解鎖第四速度30倍選項。通常，這僅在開發模式下可用。,-
LV.TI.EnableSpeed5,啟用99倍速度[5](!),-
LV.TI.EnableSpeed5Desc,在遊戲中通過按下 5 鍵解鎖 5 倍速度 99x 選項。通常，這只在開發者模式下可用。請注意，這個速度不穩定，可能會引起遊戲問題。有人說海狸可能會保持飢餓和口渴。,-
LV.TI.StaticLight,靜態日光,-
LV.TI.StaticLightDesc,視覺/用戶界面僅限。這種日光將始終保持不變。,-
LV.TI.LightSunrise,日出,-
LV.TI.LightDay,日,-
LV.TI.LightSunset,日落,-
LV.TI.LightNight,夜晚,-
LV.TI.QuickQuit,快速/強制退出 [Ctrl + Shift + Q] (!),-
LV.TI.QuickQuitDesc,按 Ctrl + Shift + Q 立即強制退出遊戲，透過終止遊戲進程。沒有保存或遊戲狀態清理。小心！,-
LV.TI.BiggerBuildDragArea,更大的建設阻力區域 (!),-
LV.TI.BiggerBuildDragAreaDesc,增加建築物的拖曳範圍，例如大壩（默認為10x10）或道路（25）。這會顯著增加加載時間和內存使用，所以請謹慎使用。範例：將其設置為5將使拖曳範圍變為15x15的大壩或30條道路。只能在主菜單中更改。,-
LV.TI.AutoClearDeadTrees,立即清除死樹,-
LV.TI.AutoClearDeadTreesDesc,使用「標記資源以進行拆除」工具時，立即自動清除沒有海狸的枯樹（就好像您在其上建造東西一樣）。,-
LV.TI.AddRealTimeClock,添加實時鐘表,-
LV.TI.AddRealTimeClockDesc,在右上角添加一個實時時鐘。這對於想要在遊戲時掌握時間的玩家來說非常有用。,-
