ID,Text,Comment
LV.CI.MinimumWaterContamination,最少水污染,-
LV.CI.MinimumWaterContaminationDesc,最低水污染百分比是水開始無法提供充分灌溉的標準。遊戲默認值：0.01，意味著如果你的水污染率為1%或以下，將提供充分的灌溉。,-
LV.CI.MaximumWaterContamination,最高水污染,-
LV.CI.MaximumWaterContaminationDesc,最大水污染百分比，超過該比例水就不會灌溉。遊戲默認值：0.53，這意味著如果你的水污染率達到53%或以上，就不會進行灌溉。,-
LV.CI.VerticalSpreadCostMultiplier,垂直差價成本,-
LV.CI.VerticalSpreadCostMultiplierDesc,向上擴散的成本倍數。遊戲默認：6，這意味著向上擴散水的成本通常是6倍。,-
LV.CI.MaxSpread,最大差幅,-
LV.CI.MaxSpreadDesc,最大擴散距離（以方塊計算）。遊戲默認值：16，這意味著一個飽和的 3x3 方塊可以灌溉最遠達 16 格的距離。,-
LV.CI.ContaMinimumWaterContamination,土壤污染的最小水量,-
LV.CI.ContaMinimumWaterContaminationDesc,水開始污染土壤的最低污染百分比。遊戲默認值：0.5，這意味著如果你的水污染達到50%或以上，它將開始污染土壤。,-
LV.CI.ContaMaxSpread,污染最大擴散,-
LV.CI.ContaMaxSpreadDesc,受污染水的最大擴散距離（以方塊計算）。遊戲預設值：7，這意味著污染會擴散到最遠7個方塊的距離。,-
LV.CI.ContaVerticalSpreadCostMultiplier,污染垂直擴散成本,-
LV.CI.ContaVerticalSpreadCostMultiplierDesc,污染向上擴散的成本乘數。遊戲默認值：5，這意味著向上擴散污染的成本通常是5倍。,-
