ID,Text,Comment
LV.CBv.Title,多彩的海狸,-
LV.CBv.Reset,重置,-
LV.CBv.ResetAll,重設所有,-
LV.CBv.ResetAllConfirm,你確定要根據目前的設置重新分配所有海狸和機器人的顏色嗎？,-
LV.CBv.KeybindingCopy,複製海狸顏色,-
LV.CBv.KeybindingPaste,漿糊貂顏色,-
LV.CBv.AssignNamed,指定基於名稱的顏色,-
LV.CBv.AssignNamedDesc,一些有特殊名稱的海狸會有特定的顏色。可編輯的文件位於：Documents\Timberborn\ColorfulBeavers\ColorNames.txt,-
LV.CBv.AssignRandom,隨機分配顏色,-
LV.CBv.AssignRandomDesc,為每隻海狸分配一種隨機顏色。可編輯的顏色列表位於：Documents\Timberborn\ColorfulBeavers\RandomColors.txt,-
LV.CBv.ApplyToBot,申請機械人,-
LV.CBv.ApplyToBotDesc,將隨機顏色應用到機械人上。,-
