ID,Text,Comment
LV.TAT.UnlimitedMapSize,無限制的地圖大小,-
LV.TAT.UnlimitedMapSizeDesc,移除預設的地圖大小限制256x256,-
LV.TAT.GameToMap,將遊戲儲存為地圖,-
LV.TAT.GameToMapDesc,允許將您正常的遊戲儲存到地圖中。當您玩遊戲時，按鈕將顯示在左上角。您也可以將該地圖上傳到 Steam 工作坊。不是在地圖編輯器中。,-
LV.TAT.LockOnSaveMap,恢復解鎖建築物,-
LV.TAT.LockOnSaveMapDesc,在保存地圖時，將建築物恢復到其原始鎖定狀態。您可能在製作地圖時已經解鎖了它們。如果不勾選此選項，建築物將對開始新遊戲的玩家保持解鎖狀態。,-
LV.TAT.DefaultWaterSourceStrength,預設水源強度,-
LV.TAT.DefaultWaterSourceStrengthDesc,在地圖編輯器中放置水源時的預設水源強度。這適用於新鮮水源和劣質水源。,-
LV.TAT.CopyObjects,複製物件,-
LV.TAT.Size0,寬度 (X)：,-
LV.TAT.Size1,呼吸 (Y):,-
