ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,樹木增強灌溉,-
Knatte.WE_IrrigationFuel.DisplayName,灌溉,-
Knatte.IrrigationTower.DisplayName,灌溉塔,-
Knatte.IrrigationTower.Description,"灌溉周圍的土地。  
不會使用無法灌溉的瓦片的水。",-
Knatte.IrrigationTower.Header,灌溉模式：,-
Knatte.IrrigationTower.FlavorDescription,由於地球上只有不到三分之一的面積被水覆蓋，灌溉成為了必須。,-
Knatte.IrrigationTowerV2_FT.DisplayName,高效灌溉塔,-
Knatte.IrrigationTowerV2_FT.Description,為周圍的土地進行灌溉，並能通過提取來促進樹木生長。對於無法灌溉的瓷磚不使用水。,-
Knatte.IrrigationTowerV2_IT.DisplayName,動力灌溉塔,-
Knatte.IrrigationTowerV2_IT.Description,在周圍灌溉，不需要任何工人。為了更多的水使用，它還能阻止污染。對於無法灌溉的瓷磚，它不會使用水。,-
Knatte.IrrigationTowerV2.FlavorDescription,由於不到三分之一的地球被水覆蓋，灌溉成為必要之舉。,-
Knatte.BigIrrigationTower.DisplayName,大型灌溉塔,-
Knatte.BigIrrigationTowerIT.Description,為了用更少的水灌溉周圍更多的土地。蓝色管道表示灌溉的起點。對於無法灌溉的地磚不使用水。,-
Knatte.BigIrrigationTowerFT.Description,"灌溉周圍更多的土地卻使用更少的水。  
黃色管道標示灌溉的起點。  
不會使用水來灌溉無法灌溉的瓷磚。",-
Knatte.BigIrrigationTower.FlavorDescription,滴滴答答。,-
Knatte.IndWaterTank.DisplayName,工業水箱,-
Knatte.IndWaterTank.Description,容納更多水並且可以堆疊，但需要金屬。,-
Knatte.Pipe5X.DisplayName,管道 5 長,-
Knatte.Pipe10X.DisplayName,管道 10 長,-
Knatte.Pipe15X.DisplayName,長15管,-
Knatte.Pipe.Description,在管道兩側安裝堤壩，並有輸入和輸出管道。堤壩需要供電，但也需作為傳輸使用。請不要在輸出管道上方的六角形內放置堤壩！這樣會導致崩潰！,-
Knatte.PipeU5X.DisplayName,地下管道5長,-
Knatte.PipeU10X.DisplayName,地下管道 10 米長,-
Knatte.PipeU15X.DisplayName,地下管道 15 長,-
Knatte.PipeU.Description,"在管道兩側設置堤防，並有進口和出口管道。  
管道在堤防之間地下延伸。  
堤防需要供電，並且也需作為傳輸通道。  
請勿在出口管道上方的六角形置放堤防！這樣會崩潰！",-
Knatte.CategoryPipe.DisplayName,直管,-
Knatte.CategoryPipe.Description,地面上的管道,-
Knatte.CategoryPipeU.DisplayName,地下管道,-
Knatte.CategoryPipeU.Description,需要在彎道下埋設的管道,-
Knatte.CategoryHideWE.DisplayName,未使用水擴展,-
Knatte.Pipe1X.DisplayName,管道出口,-
Knatte.Pipe1X.Description,兩個閘門和一個進出管道。閘門需要供電，但也需要作為傳輸功能。請勿在輸出管道上方的六邊形中放置閘門！這樣會崩潰！,-
Knatte.PowerLevee.DisplayName,動力袖,-
Knatte.PowerLevee.Description,有軸心的堤壩以供給泵使用。包括水平和垂直兩種。,-
Knatte.DeepSeaPump.DisplayName,深海水泵,-
Knatte.DeepSeaPump.Description,海底泵,-
Knatte.DeepSeaPump.FlavorDescription,一口新鮮的水就足以讓你振奮起來。,-
Knatte.UPowerLevee.DisplayName,通用電源袖子,-
Knatte.UPowerLevee.Description,有軸的堤防用來驅動泵浦。連接到所有側面,-
Knatte.PipeH1X.DisplayName,管道出口 (H),-
Knatte.PipeH1X.Description,高容量泵兩個堤防以及一個進水管和一個出水管。堤防需要供電，但也必須作為轉移使用。,-
Knatte.LargeWaterWheelLevee.DisplayName,大型水車與堤防,-
Knatte.LargeWaterWheelLevee.Description,水車，還有一個傾斜的堤防，以幫助保持水流在渠道內，不至於溢出。,-
Knatte.PipeHU5X.DisplayName,地下管道 5 長 (H),-
Knatte.PipeHU10X.DisplayName,地下管道 10 長 (H),-
Knatte.PipeHU15X.DisplayName,地下管道 15 長 (H),-
Knatte.PipeHU.Description,高功率版本，管道兩側有堤防，並有進水管和出水管。管道在堤防之間深入地下。堤防需要供電，但也需作為傳送裝置。請不要在出水管上方的六角格內放置堤防！這會導致崩潰！,-
Knatte.Valve1X.DisplayName,單向閥,-
Knatte.Valve1X.Description,"中間有堤壩的單向閥  
不需要電力，也不會轉移  
最大流量1.5厘米",-
Knatte.ValveH1X.DisplayName,單向閥 (H),-
Knatte.ValveH1X.Description,"高流量單向閥，中間有堤壩  
不需要電力且不會轉移",-
Knatte.Aqueduct_S_1X.DisplayName,水道,-
Knatte.Aqueduct_S_5X.DisplayName,水道 5 長,-
Knatte.Aqueduct_S.Description,一側有牆的高架渠。也能在底部阻止水流。,-
Knatte.Aqueduct_S.FlavorDescription,待填寫,-
Knatte.Aqueduct_P_1X.DisplayName,水道 1x1,-
Knatte.Aqueduct_P_5X.DisplayName,水道 1x5 長,-
Knatte.Aqueduct_P.Description,兩側有牆的高架渠。也可以在底部阻止水流。,-
Knatte.Aqueduct_P.FlavorDescription,待填寫,-
Knatte.Aqueduct_Corner.DisplayName,水道角,-
Knatte.Aqueduct_Corner.Description,帶有兩側牆壁的渡槽形成一個轉角。也在底部阻擋水流。,-
Knatte.Aqueduct_Corner.FlavorDescription,水走左邊,-
Knatte.Aqueduct_Lid_1X.DisplayName,水道蓋,-
Knatte.Aqueduct_Lid_5X.DisplayName,水道蓋 5 長,-
Knatte.Aqueduct_Lid.Description,添加一個阻止水分逸出的蓋子,-
Knatte.Aqueduct_Lid.FlavorDescription,它現在是個管子了嗎？,-
Knatte.Aqueduct_Wall.DisplayName,水道牆假人,-
Knatte.Aqueduct_Wall.Description,不要阻擋水流，但可能為了美觀而幫助內角產生這樣的錯覺。,-
Knatte.Aqueduct_Wall.FlavorDescription,待填寫,-
Knatte.Aqueduct_Floor_1X1.DisplayName,水道地板,-
Knatte.Aqueduct_Floor_1X5.DisplayName,水道第一層 1x5,-
Knatte.Aqueduct_Floor_2X2.DisplayName,水道 第二層 2x2,-
Knatte.Aqueduct_Floor_3X3.DisplayName,水道樓層 3x3,-
Knatte.Aqueduct_Floor_5X5.DisplayName,水道 地板 5x5,-
Knatte.Aqueduct_Floor.Description,防水地板（公渠主題）,-
Knatte.Aqueduct_Floor.FlavorDescription,你不能通過,-
Knatte.Aqueduct_Sluice.DisplayName,水道閘,-
Knatte.Aqueduct_Sluice.Description,一個單向、自動排水裝置。以輸水道主題為背景，如果下面有支撐，可放置於輸水道中。,-
Knatte.Aqueduct_Corner_Int.DisplayName,水道內角,-
Knatte.Aqueduct_Corner_Int.Description,水道兩側有牆以形成轉角，並在底部阻止水流。,-
Knatte.Aqueduct_Corner_Int.FlavorDescription,水往左走,-
Knatte.Aqueduct_P_1X_Corner_Int.DisplayName,水道 1x1 內角,-
Knatte.Aqueduct_P_1X_Corner_Int.Description,水道旁有三面牆壁形成一個角落。也可以在底部阻止水流。,-
Knatte.Aqueduct_P_1X_Corner_Int.FlavorDescription,水走了左邊,-
Knatte.Aqueduct_Wall2.DisplayName,輸水道牆,-
Knatte.Aqueduct_Wall2.Description,阻止水進入與此相同的區塊，可以用來建造水下通道。,-
Knatte.Aqueduct_Wall2.FlavorDescription,待填寫,-
Knatte.TurbineSmall.DisplayName,小型渦輪機,-
Knatte.TurbineSmall.Description,一個小型渦輪發電機，按照軸的相同方向發電。,-
Knatte.TurbineSmall.FlavorDescription,感謝99Cent和Ymerzeru的啟發,-
Knatte.Aqueduct_Wall3.DisplayName,"偏置  
渡槽牆",-
Knatte.Aqueduct_Wall3.Description,阻止水進入與牆壁相同的區塊,-
Knatte.Aqueduct_Wall4.DisplayName,"雙重偏移
渡槽牆",-
Knatte.Aqueduct_Wall4.Description,阻止水進入與牆壁相同的方塊,-
Knatte.Aqueduct_Wall_OffDec.DisplayName,"偏移
渠壁模擬器",-
Knatte.Aqueduct_Wall_OffDec2.DisplayName,"偏移雙重  
渡槽牆假人",-
