ID,Text,Comment
LV.CI.MinimumWaterContamination,最低水污染,-
LV.CI.MinimumWaterContaminationDesc,水的最低污染百分比，當水的污染程度超過此值時，將無法提供完整的灌溉。遊戲預設值：0.01，這意味著如果你的水污染達到1%或以下，則將提供完整的灌溉。,-
LV.CI.MaximumWaterContamination,最大水污染,-
LV.CI.MaximumWaterContaminationDesc,最大水污染百分比，超過此值將停止灌溉。遊戲默認值：0.53，意味著如果你的水污染率達到或超過53%，將不會進行灌溉。,-
LV.CI.VerticalSpreadCostMultiplier,垂直差價成本,-
LV.CI.VerticalSpreadCostMultiplierDesc,向上擴散的成本倍數。遊戲預設：6，這意味著向上擴散水的成本通常是原來的6倍。,-
LV.CI.MaxSpread,最大差價,-
LV.CI.MaxSpreadDesc,最大擴散距離（以方塊為單位）。遊戲預設值：16，這意味著一個飽和的3x3區域可以灌溉最遠16個方塊。,-
LV.CI.ContaMinimumWaterContamination,最小水量以促進土壤污染,-
LV.CI.ContaMinimumWaterContaminationDesc,水開始污染土壤的最低污染百分比。遊戲默認值：0.5，這意味著如果你的水污染達到50%或以上，它將開始污染土壤。,-
LV.CI.ContaMaxSpread,汙染最大擴散,-
LV.CI.ContaMaxSpreadDesc,污染水的最大擴散距離（以方塊計算）。遊戲預設值：7，這意味著污染將會擴散到最多7個方塊的距離。,-
LV.CI.ContaVerticalSpreadCostMultiplier,污染垂直擴散成本,-
LV.CI.ContaVerticalSpreadCostMultiplierDesc,污染向上擴散的成本倍率。遊戲預設值：5，這意味著向上擴散污染的成本通常是正常的5倍。,-
