ID,Text,Comment
LV.SP.Title,科學專案,-
LV.SP.Welcome,感謝您使用科學計畫模組。這個畫面是您可以解鎖和管理計畫的地方。您可以通過點擊畫面左上角的科學按鈕或按下快捷鍵（預設為 Y，您可以在按鍵設置中重新綁定）來打開它。,-
KeyBinding.ScientificProjectDialog,科學專案螢幕,-
LV.SP.Unlocked,解鎖了！,-
LV.SP.PreqLocked,需要 {0} 來解鎖。,-
LV.SP.NotEnoughScienceNextDay,您沒有足夠的科學來支付明天的費用。請調整您的項目或今天跳過。警告：按下 Esc 鍵將跳過今天的項目。,-
LV.SP.CurrentScience,當前科學：{0},-
LV.SP.CurrentSciencePlus,當前科學：{0}（從昨天的 {1}）,-
LV.SP.UnlockErrUnlocked,此專案已解鎖,-
LV.SP.UnlockErrRequirementLocked,此專案需要 {0} 來解鎖,-
LV.SP.UnlockErrCostLocked,您只有 {0} 科學，但您需要 {1} 科學來解鎖這個項目。,-
LV.SP.UnlockConfirm,您確定要用 {1} 科學解鎖 {0} 嗎？,-
LV.SP.CustomCost,每日成本：,-
LV.SP.ScienceStepCost,每個級別 {0},-
LV.SP.CurrentCost,下一天的費用：{0}/天,-
LV.SP.Level,等級,-
LV.SP.ActiveLevel,活動級別：{0},-
LV.SP.DayCostNotice,每日科學費用在每天開始時扣除，效果在整天內保持不變。,-
LV.SP.NextDayCost,隔天的費用：{0},-
LV.SP.PayDayCost,支付當天的費用,-
LV.SP.NotEnoughSciencePay,您沒有足夠的科學來支付明天的費用。請調整您的計劃或今天暫停。,-
LV.SP.SkipConfirm,你確定今天要跳過這些專案嗎？,-
LV.SP.SkipToday,跳過今天,-
LV.SP.WrongFaction,這個專案無法由這個派系解鎖。,-
LV.SP.ReloadNotice,請儲存並重新載入遊戲，以使此專案生效。,-
LV.SP.ReloadNeeded,[需要重新載入],-
LV.SP.WorkEffGroup,工作效率,-
LV.SP.WorkEffGroupDesc,提高你殖民地的工作效率,-
LV.SP.LogisticGroup,物流,-
LV.SP.LogisticGroupDesc,增加移動速度和資源流動,-
LV.SP.WorkEffUpgrade1,精密工作工具,-
LV.SP.WorkEffUpgrade1Eff,永久提高所有海狸的工作效率 {0:+#%}。,-
LV.SP.WorkEffUpgrade1Lore,在挖掘人類工具計畫後，河狸運用古老的技巧製作出更鋒利的刀片，提高了效率。,-
LV.SP.WorkEffUpgrade2,精密工具維護,-
LV.SP.WorkEffUpgrade2Lore,「我改裝了一個水力磨刀器——讓我們的工具隨時可以使用，隨著時間推進加速每一項工作！」——凿顎木啃,-
LV.SP.WorkEffUpgrade2Eff,每個等級的河狸額外工作效率 {0:+#%}。,-
LV.SP.WorkEffUpgrade2Cost,每個等級的[成本]，以及每{2}成年海狸的{1}（四捨五入）,-
LV.SP.MoveSpeedUpgrade1,輕便拖鞋,-
LV.SP.MoveSpeedUpgrade1Lore,「這雙拖鞋讓我感覺像是在水面上滑行」— 威斯克貓 Quickpaw,-
LV.SP.MoveSpeedUpgradeEff,永久提高所有海狸的移動速度 {0:+#%}（與其他項目堆疊）。,-
LV.SP.MoveSpeedUpgrade2,耐用的登山靴,-
LV.SP.MoveSpeedUpgrade2Lore,這雙靴子堅韌如海狸牙，能將崎嶇的路徑化為平坦的小徑，讓你快速行走。,-
LV.SP.MoveSpeedUpgrade3,空氣動力學短跑裝備,-
LV.SP.MoveSpeedUpgrade3Lore,「在這個檔位，我不只是跑步；我是一道純粹速度的毛茸茸模糊影！」— 瑞夫斯特里姆·風馳,-
LV.SP.MoveSpeedUpgradeBuff,移動速度項目,-
LV.SP.MoveSpeedUpgradeBuffDesc,更高級的裝備可以讓你的角色移動得更快。,-
LV.SP.MoveSpeedUpgradeBuffEff,從 {1} 提升 {0:+#%} 的移動速度,-
LV.SP.WorkEffUpgradeBuff,工作效率專案,-
LV.SP.WorkEffUpgradeBuffDesc,您的高級工具使您的角色能更有效率地工作。,-
LV.SP.WorkEffUpgradeBuffEff,{0:+#%} 工作效率來自 {1},-
LV.SP.EmergenciesGroup,緊急情況,-
LV.SP.EmergenciesGroupDesc,如遇危險，請按下這些大黃色按鈕。但你只有一次機會。,-
LV.SP.EmergencyDrill1,緊急淺層鑽探,-
LV.SP.EmergencyDrill1Desc,將 {0} 天添加到這個溫帶季節。只有在不良天氣來臨時才能啟用。,-
LV.SP.EmergencyDrill1Lore,一隻好奇的海狸對潮濕土壤的嗅覺引導它發現了這個淺水坑——能迅速取水，在危急時刻可救命。,-
LV.SP.EmergencyDrill2,緊急深鑽,-
LV.SP.EmergencyDrill2Desc,將 {0} 天添加到這個寒冷的季節。僅在壞天氣來臨時才能啟用。,-
LV.SP.EmergencyDrill2Lore,「我們正在深入鑽探，但我們可不想廉價鑽探！」— 鑽頭麥克四世,-
LV.SP.EmergencyDrill3,緊急深層鑽探,-
LV.SP.EmergencyDrill3Desc,將 {0} 天加到這個溫帶季節。只有在惡劣天氣即將來臨時才能啟動。,-
LV.SP.EmergencyDrill3Lore,傳說老咬齒預見了這口最深的井 - 當天空變得殘酷時，我們最後的希望。,-
LV.SP.BadWeatherConditionErr,只有在預測會來臨惡劣天氣（乾旱或壞潮）時，您才能啟用此功能。,-
LV.SP.Wheelbarrows,手推車,-
LV.SP.WheelbarrowsLore,終極的背部救星，讓海狸能夠拉運木頭，而不必像超載的烏龜一樣蹣跚而行。,-
LV.SP.WheelbarrowsEff,海狸和機器人攜帶物品時不再受到移動速度懲罰。,-
LV.SP.CarryUpgrade1,強化背包,-
LV.SP.CarryUpgrade1Lore,「這些包讓我能拖拉一片森林，還有空間放零食！」 — 貨物駱駝 Heavyload,-
LV.SP.CarryUpgrade1Eff,永久提升海狸的承載能力 {0:+#%},-
LV.SP.CarryBuilderUpgrade,建築刨子,-
LV.SP.CarryBuilderUpgradeLore,讓建設如同咀嚼過的圓木一樣順利。,-
LV.SP.CarryBuilderUpgradeEff,每級為<SolidHighlight>建造者</SolidHighlight>（區域中心或建築小屋的工人，包括海狸和機器人）提供 {0:+#%} 的額外承載能力。,-
LV.SP.CarryBuilderUpgradeCost,每個建築者的每級成本（向上取整）,-
LV.SP.CarryUpgradeBuff,承載能力項目,-
LV.SP.CarryUpgradeBuffDesc,你的上級攜帶裝備使你的角色能夠攜帶更多物品。,-
LV.SP.CarryUpgradeBuffEff,{0:+#%} 載重能力來自 {1},-
LV.SP.CarryBuilderBuff,建築者鐵槌,-
LV.SP.CarryBuilderBuffDesc,你的建築工人現在配備了雪橇，可以攜帶更多的物品。,-
LV.SP.CarryBuilderBuffEff,{0:+#%} 含量來自 {1},-
LV.SP.FactionsGroup,派系,-
LV.SP.FactionsGroupDesc,每個派系的獨特項目,-
LV.SP.FtPlankUpgrade,樹脂滲透木板,-
LV.SP.FtPlankUpgradeLore,將木板注入天然樹脂，使處理過的木板產量翻倍 - 無需電力，僅靠自然之道。,-
LV.SP.FtPlankUpgradeEff,木工坊使用 {1:#.###%} 的能量和 {0:+#%} 的處理木板輸出。,-
LV.SP.ItSmelterUpgrade,熱回收熔煉爐,-
LV.SP.ItSmelterUpgradeLore,一項爐子設計的突破使金屬產出翻倍，無需額外的電力，體現了鐵齒的巧思。,-
LV.SP.ItSmelterUpgradeEff,冶煉廠使用 {1:#.###%} 的電力，並且金屬方塊的產出為 {0:+#%}。,-
LV.SP.BuffLessPowerEff,{0:#.###%} 能源使用量,-
LV.SP.BuffIncreasedOutput,{0:+#%} 增加輸出,-
LV.SP.Filter,過濾器,-
LV.SP.Keyword,關鍵字,-
LV.SP.FilterLocked,鎖定,-
LV.SP.FilterUnlocked,解鎖,-
LV.SP.FilterDaily,每日,-
LV.SP.FilterOneTime,一次性,-
