ID,Text,Comment
LV.NBR.RemoveGroundOnly,移除僅限地面限制,-
LV.NBR.RemoveGroundOnlyDesc,移除僅限地面建築（如營火）的限制,-
LV.NBR.RemoveRoofOnly,移除僅限於屋頂的限制,-
LV.NBR.RemoveRoofOnlyDesc,移除僅限於屋頂建築（如屋頂露台）的限制,-
LV.NBR.PlatformOver1x1,超過 1x1 的平台,-
LV.NBR.PlatformOver1x1Desc,您始終可以在 1x1 建築上搭建平台（例如，您現在可以在伐木工旗幟上搭建雙層平台）,-
LV.NBR.AlwaysSolid,一切都很好,-
LV.NBR.AlwaysSolidDesc,所有建築物都是堅固的，可以放置在上面。,-
LV.NBR.AllowFlooded,不再有淹水的建築,-
LV.NBR.AllowFloodedDesc,建築物不再淹水。,-
LV.NBR.SuperStructure,超級底妝,-
LV.NBR.SuperStructureDesc,任何有入口的建築物都可以僅在地面上建造入口。,-
LV.NBR.MagicStructure,魔法基礎,-
LV.NBR.MagicStructureDesc,您的建築根本不需要任何支撐。它可以在空中漂浮。您可能仍然需要搭建腳手架，以便能夠放置建築物，然後再將其移除。,-
LV.NBR.HangingStructure,懸掛結構,-
LV.NBR.HangingStructureDesc,您可以建造相鄰懸掛的建築物，類似於地形。需要魔法結構。,-
LV.NBR.SuperHangingTerrain,超懸空地形,-
LV.NBR.SuperHangingTerrainDesc,您可以將懸掛地形的限制從3提高至50（不可以更高，因為會影響性能）。,-
LV.NBR.NoBottomOfMap,移除地形到底部的限制,-
LV.NBR.NoBottomOfMapDesc,移除「連續地形延伸至地圖底部」的限制（地下遺跡和水源）,-
