ID,Text,Comment
Battery.PowerShaftExtensions.ToolGroups.ShaftBridges.DisplayName,シャフトブリッジ,-
Battery.PowerShaftExtensions.ToolGroups.ShaftTunnels.DisplayName,シャフトトンネル,-
Battery.PowerShaftExtensions.PowerShaftBridgex3.DisplayName,パワーシャフト橋（1スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex3.Description,1ブロックのギャップを跨ぐパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftBridgex4.DisplayName,パワーシャフト橋（2スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex4.Description,2ブロックのギャップにまたがるパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftBridgex5.DisplayName,パワーシャフト橋（3径間）,-
Battery.PowerShaftExtensions.PowerShaftBridgex5.Description,3ブロックのギャップを跨ぐパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftBridgex6.DisplayName,パワーシャフト橋（4スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex6.Description,4ブロックの間を跨ぐパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftBridgex7.DisplayName,パワーシャフト橋 (5スパン),-
Battery.PowerShaftExtensions.PowerShaftBridgex7.Description,5ブロックのギャップを跨ぐパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftBridgex8.DisplayName,パワーシャフトブリッジ（6スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex8.Description,6ブロックの隙間を跨ぐパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftBridgex9.DisplayName,パワーシャフトブリッジ（7スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex9.Description,7ブロックのギャップを跨ぐ動力シャフトの橋,-
Battery.PowerShaftExtensions.PowerShaftBridgex10.DisplayName,パワーシャフト橋（8スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex10.Description,8ブロックのギャップを跨ぐ動力シャフト橋,-
Battery.PowerShaftExtensions.PowerShaftBridgex11.DisplayName,パワーシャフト橋（9スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex11.Description,9ブロックのギャップを跨ぐパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftBridgex12.DisplayName,パワーシャフト橋（10スパン）,-
Battery.PowerShaftExtensions.PowerShaftBridgex12.Description,10ブロックの隙間を跨ぐパワーシャフトブリッジ,-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.DisplayName,パワーシャフトトンネル（1長）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.Description,地下に掘り進まれた深いパワーシャフトトンネル。1ブロックにわたって延びている。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.DisplayName,パワーシャフトトンネル（2ロング）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.Description,深いパワーシャフトトンネルが地下に掘られています。2つのブロックにまたがっています。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.DisplayName,パワーシャフトトンネル（3長）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.Description,地下に掘り進められた深いパワーシャフトトンネル。3つのブロックにわたって延びている。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.DisplayName,パワーシャフトトンネル（4長）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.Description,地下に掘られた深い電力シャフトトンネル。4つのブロックにわたって延びています。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.DisplayName,パワーシャフトトンネル（5長）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.Description,地下に掘られた深い電力シャフトトンネル。5つのブロックにわたって延びています。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.DisplayName,パワーシャフトトンネル (6ロング),-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.Description,地面の下に掘られた深い電力シャフトトンネル。6つのブロックにわたって延びています。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.DisplayName,パワーシャフトトンネル（7長）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.Description,地下に掘られた深い電力シャフトトンネル。7つのブロックにわたって延びている。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.DisplayName,パワーシャフトトンネル（8ロング）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.Description,地下に掘られた深いパワーシャフトトンネル。8ブロックにわたって広がっています。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.DisplayName,パワーシャフトトンネル（9-ロング）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.Description,地下に掘り進められた深いパワーシャフトトンネル。9ブロックにわたって延びています。,-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.DisplayName,パワーシャフトトンネル（10メートル）,-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.Description,地下に掘削された深いパワーシャフトトンネル。10ブロックにわたって延びています。,-
