ID,Text,Comment
LV.SP.Title,Научные проекты,-
LV.SP.Welcome,"Спасибо, что используете мод Scientific Projects. Этот экран предназначен для разблокировки и управления проектами. Вы можете открыть его, нажав кнопку Наука в верхнем левом углу экрана или нажав горячую клавишу (по умолчанию: Y, вы можете перенастроить ее в Настройках клавиш).",-
KeyBinding.ScientificProjectDialog,Экран научных проектов,-
LV.SP.Unlocked,Разблокировано!,-
LV.SP.PreqLocked,Требуется {0} для разблокировки.,-
LV.SP.NotEnoughScienceNextDay,"У вас недостаточно науки, чтобы оплатить следующий день. Настройте свои проекты или пропустите сегодня. Предупреждение: нажатие Esc пропустит проекты на сегодня.",-
LV.SP.CurrentScience,Текущая наука: {0},-
LV.SP.CurrentSciencePlus,Текущая наука: {0} ({1} с учёта вчера),-
LV.SP.UnlockErrUnlocked,Этот проект уже разблокирован.,-
LV.SP.UnlockErrRequirementLocked,Этот проект требует {0} для разблокировки.,-
LV.SP.UnlockErrCostLocked,"У вас только {0} науки, но вам нужно {1} науки, чтобы разблокировать этот проект.",-
LV.SP.UnlockConfirm,"Вы уверены, что хотите разблокировать {0} с помощью {1} науки?",-
LV.SP.CustomCost,стоимость за день:,-
LV.SP.ScienceStepCost,{0} за уровень,-
LV.SP.CurrentCost,Стоимость следующего дня: {0}/д,-
LV.SP.Level,Уровень,-
LV.SP.ActiveLevel,Активный уровень: {0},-
LV.SP.DayCostNotice,"Стоимость ежедневной науки вычитается в начале каждого дня, и эффекты остаются неизменными на протяжении всего дня.",-
LV.SP.NextDayCost,Стоимость следующего дня: {0},-
LV.SP.PayDayCost,Оплата за день,-
LV.SP.NotEnoughSciencePay,"У вас недостаточно науки, чтобы оплатить следующий день. Настройте свои проекты или пропустите сегодня.",-
LV.SP.SkipConfirm,"Вы уверены, что хотите пропустить проекты на сегодня?",-
LV.SP.SkipToday,Пропустить сегодня,-
LV.SP.WrongFaction,Этот проект не может быть разблокирован этой фракцией.,-
LV.SP.ReloadNotice,"Пожалуйста, сохраните и перезагрузите игру, чтобы изменения вступили в силу.",-
LV.SP.ReloadNeeded,[Перезагрузка необходима],-
LV.SP.WorkEffGroup,Рабочая эффективность,-
LV.SP.WorkEffGroupDesc,Увеличьте рабочую эффективность своей колонии,-
LV.SP.LogisticGroup,Логистика,-
LV.SP.LogisticGroupDesc,Увеличьте скорость движения и поток ресурсов,-
LV.SP.WorkEffUpgrade1,Инструменты для прецизионной работы,-
LV.SP.WorkEffUpgrade1Eff,Постоянно увеличивает эффективность работы всех бобров на {0:+#%}.,-
LV.SP.WorkEffUpgrade1Lore,"После раскопок планов инструментов человечества бобры создают более острые лезвия с помощью старинных трюков, увеличивая эффективность.",-
